station_name,depth,lat,lon,sensor,station_code
"Bermuda, St. Georges Island, Bermuda",,32.3734,-64.7033,urn:ioos:sensor:NOAA.NOS.CO-OPS:2695540:C1,2695540
"USCG Station Hatteras, NC",,35.2086,-75.7042,urn:ioos:sensor:NOAA.NOS.CO-OPS:8654467:C1,8654467
"Beaufort, Duke Marine Lab, NC",,34.72,-76.67,urn:ioos:sensor:NOAA.NOS.CO-OPS:8656483:C1,8656483
"Wrightsville Beach, NC",,34.2133,-77.7867,urn:ioos:sensor:NOAA.NOS.CO-OPS:8658163:C1,8658163
"Christiansted Harbor, St Croix, VI",,17.75,-64.705,urn:ioos:sensor:NOAA.NOS.CO-OPS:9751364:C1,9751364
"Lime Tree Bay. St. Croix, VI",,17.6947,-64.7538,urn:ioos:sensor:NOAA.NOS.CO-OPS:9751401:C1,9751401
"Esperanza, Vieques Island, PR",,18.0939,-65.4714,urn:ioos:sensor:NOAA.NOS.CO-OPS:9752695:C1,9752695
"San Juan, La Puntilla, San Juan Bay, PR",,18.4592,-66.1164,urn:ioos:sensor:NOAA.NOS.CO-OPS:9755371:C1,9755371
"Arecibo, PR",,18.4805,-66.7024,urn:ioos:sensor:NOAA.NOS.CO-OPS:9757809:C1,9757809
"Magueyes Island, PR",,17.97,-67.0464,urn:ioos:sensor:NOAA.NOS.CO-OPS:9759110:C1,9759110
