date_time,sea_surface_wave_significant_height (m),sea_surface_wave_peak_period (s),sea_surface_wave_mean_period (s),sea_water_temperature (c),sea_surface_wave_to_direction (degree)
2018-08-26 12:00:00+00:00,0.72,6.25,,,275.0
2018-08-26 13:00:00+00:00,0.65,5.26,,,293.0
2018-08-26 14:00:00+00:00,0.71,6.25,,,275.0
2018-08-26 15:00:00+00:00,0.59,6.25,,,298.0
2018-08-26 16:00:00+00:00,0.6,7.69,,,276.0
2018-08-26 17:00:00+00:00,0.59,6.56,,,294.0
2018-08-26 18:00:00+00:00,0.65,5.48,,,286.0
2018-08-26 19:00:00+00:00,0.63,5.26,,,293.0
2018-08-26 20:00:00+00:00,0.63,5.48,,,286.0
2018-08-26 21:00:00+00:00,0.64,5.26,,,293.0
2018-08-26 22:00:00+00:00,0.65,5.06,,,290.0
2018-08-26 23:00:00+00:00,0.62,7.27,,,289.0
2018-08-27 00:00:00+00:00,0.59,7.27,,,291.0
2018-08-27 01:00:00+00:00,0.58,5.48,,,292.0
2018-08-27 02:00:00+00:00,0.52,7.69,,,276.0
2018-08-27 03:00:00+00:00,0.47,6.25,,,298.0
2018-08-27 04:00:00+00:00,0.46,7.69,,,276.0
2018-08-27 05:00:00+00:00,0.46,6.25,,,298.0
2018-08-27 06:00:00+00:00,0.42,6.9,,,296.0
2018-08-27 07:00:00+00:00,0.4,5.97,,,299.0
2018-08-27 08:00:00+00:00,0.36,7.69,,,276.0
2018-08-27 09:00:00+00:00,0.4,6.25,,,298.0
2018-08-27 10:00:00+00:00,0.38,6.9,,,296.0
2018-08-27 11:00:00+00:00,0.4,5.48,,,292.0
2018-08-27 12:00:00+00:00,0.38,5.97,,,288.0
2018-08-27 13:00:00+00:00,0.34,6.56,,,294.0
2018-08-27 14:00:00+00:00,0.35,6.9,,,296.0
2018-08-27 15:00:00+00:00,0.36,7.27,,,289.0
2018-08-27 16:00:00+00:00,0.36,6.56,,,292.0
