station_name,station_code,sensor,lon,lat,depth
"GRAYS REEF - 40 NM Southeast of Savannah, GA",41008,urn:ioos:sensor:wmo:41008::wpm1,-80.868,31.4,
"South of St. John, VI",41052,urn:ioos:sensor:wmo:41052::summarywav1,-64.763,18.249000000000002,
"San Juan, PR",41053,urn:ioos:sensor:wmo:41053::summarywav1,-66.09899999999999,18.474,
"Vieques Island, PR",41056,urn:ioos:sensor:wmo:41056::summarywav1,-65.464,18.261,
Woods Hole Northwest Tropical Atlantic Wave Station,41060,urn:ioos:sensor:wmo:41060::wpm1,-51.016999999999996,14.824000000000002,
"Wilmington Harbor, NC - (200)",41108,urn:ioos:sensor:wmo:41108::summarywav1,-78.015,33.721,
"Masonboro Inlet, ILM2, NC (150)",41110,urn:ioos:sensor:wmo:41110::summarywav1,-77.717,34.141,
"Offshore Fernandina Beach, FL (132)",41112,urn:ioos:sensor:wmo:41112::summarywav1,-81.292,30.709,
"Cape Canaveral Nearshore, FL (143)",41113,urn:ioos:sensor:wmo:41113::summarywav1,-80.53399999999999,28.4,
"Fort Pierce, FL (134)",41114,urn:ioos:sensor:wmo:41114::summarywav1,-80.217,27.55,
"Rincon, Puerto Rico (181)",41115,urn:ioos:sensor:wmo:41115::summarywav1,-67.28,18.375999999999998,
"St. Augustine, FL (194)",41117,urn:ioos:sensor:wmo:41117::summarywav1,-81.08,30.0,
"Onslow Bay Outer, NC (217)",41159,urn:ioos:sensor:wmo:41159::summarywav1,-76.946,34.213,
"Southeast of Ponce, PR",42085,urn:ioos:sensor:wmo:42085::summarywav1,-66.532,17.869,
"Egmont Channel Entrance, FL (214)",42098,urn:ioos:sensor:wmo:42098::summarywav1,-82.931,27.59,
"Duck FRF, NC",44056,urn:ioos:sensor:wmo:44056::summarywav1,-75.715,36.199,
"Oregon Inlet, NC (192)",44095,urn:ioos:sensor:wmo:44095::summarywav1,-75.33,35.75,
"USACE-CHL Field Research Facility, Duck, NC",frfn7,urn:ioos:sensor:wmo:frfn7::summarywav1,-75.73899999999999,36.19,
Sunset Beach Nearshore Waves (SUN2WAVE),ssbn7,urn:ioos:sensor:wmo:ssbn7::summarywav1,-78.484,33.838,
