date_time,wind_from_direction (degree),wind_speed (m/s),wind_speed_of_gust (m/s),upward_air_velocity (m/s)
2018-08-26 12:00:00+00:00,170.0,1.0,1.0,
2018-08-26 12:06:00+00:00,,0.0,0.5,
2018-08-26 12:12:00+00:00,,0.0,1.5,
2018-08-26 12:18:00+00:00,70.0,1.0,1.5,
2018-08-26 12:24:00+00:00,80.0,0.5,1.0,
2018-08-26 12:30:00+00:00,20.0,1.5,2.1,
2018-08-26 12:36:00+00:00,40.0,1.5,2.6,
2018-08-26 12:42:00+00:00,30.0,1.5,2.1,
2018-08-26 12:48:00+00:00,20.0,2.1,2.6,
2018-08-26 12:54:00+00:00,20.0,3.6,4.1,
2018-08-26 13:00:00+00:00,30.0,3.1,3.6,
2018-08-26 13:06:00+00:00,30.0,3.1,4.6,
2018-08-26 13:24:00+00:00,40.0,3.1,4.6,
2018-08-26 13:30:00+00:00,40.0,3.1,5.1,
2018-08-26 13:36:00+00:00,40.0,3.6,5.1,
2018-08-26 13:42:00+00:00,30.0,4.1,5.7,
2018-08-26 13:48:00+00:00,40.0,3.6,5.1,
2018-08-26 20:48:00+00:00,190.0,1.5,2.1,
2018-08-26 20:54:00+00:00,150.0,1.5,2.6,
2018-08-26 21:00:00+00:00,130.0,2.1,2.6,
2018-08-26 21:06:00+00:00,80.0,2.1,2.6,
2018-08-26 21:12:00+00:00,180.0,1.5,2.1,
2018-08-26 21:18:00+00:00,160.0,2.1,2.6,
2018-08-26 21:24:00+00:00,150.0,2.6,3.1,
2018-08-26 21:30:00+00:00,130.0,2.6,3.1,
2018-08-26 21:36:00+00:00,120.0,2.6,3.1,
2018-08-26 21:42:00+00:00,130.0,2.1,3.1,
2018-08-26 21:48:00+00:00,120.0,2.6,2.6,
2018-08-26 21:54:00+00:00,120.0,2.1,2.6,
2018-08-26 22:00:00+00:00,140.0,2.1,2.6,
2018-08-26 22:06:00+00:00,150.0,2.1,2.1,
2018-08-26 22:12:00+00:00,160.0,2.6,2.6,
2018-08-26 22:18:00+00:00,160.0,1.5,2.1,
2018-08-26 22:24:00+00:00,110.0,1.5,2.1,
2018-08-26 22:30:00+00:00,120.0,2.6,3.1,
2018-08-26 22:36:00+00:00,120.0,1.5,2.6,
2018-08-26 22:42:00+00:00,110.0,1.5,2.1,
2018-08-26 22:48:00+00:00,100.0,1.5,2.1,
2018-08-26 22:54:00+00:00,80.0,2.1,2.6,
2018-08-26 23:00:00+00:00,80.0,3.1,4.6,
2018-08-26 23:06:00+00:00,80.0,2.6,3.6,
2018-08-26 23:12:00+00:00,80.0,2.6,3.6,
2018-08-26 23:18:00+00:00,80.0,2.1,3.6,
2018-08-26 23:24:00+00:00,80.0,2.1,3.1,
2018-08-26 23:30:00+00:00,90.0,3.1,4.6,
2018-08-26 23:36:00+00:00,110.0,2.1,3.1,
2018-08-26 23:42:00+00:00,110.0,2.6,3.1,
2018-08-26 23:48:00+00:00,120.0,2.1,2.6,
2018-08-26 23:54:00+00:00,120.0,2.1,2.6,
2018-08-27 00:00:00+00:00,120.0,2.1,2.6,
2018-08-27 00:06:00+00:00,130.0,2.1,2.6,
2018-08-27 00:12:00+00:00,130.0,2.1,2.6,
2018-08-27 00:18:00+00:00,140.0,2.1,2.6,
2018-08-27 00:24:00+00:00,150.0,2.6,3.1,
2018-08-27 00:30:00+00:00,140.0,2.6,2.6,
2018-08-27 00:36:00+00:00,140.0,2.6,3.1,
2018-08-27 00:42:00+00:00,120.0,2.1,2.6,
2018-08-27 00:48:00+00:00,130.0,2.6,3.1,
2018-08-27 00:54:00+00:00,110.0,2.1,2.6,
2018-08-27 01:00:00+00:00,130.0,1.5,2.6,
2018-08-27 01:06:00+00:00,140.0,2.6,2.6,
2018-08-27 01:12:00+00:00,150.0,2.6,2.6,
2018-08-27 01:18:00+00:00,150.0,2.1,2.6,
2018-08-27 01:24:00+00:00,140.0,2.1,2.6,
2018-08-27 01:30:00+00:00,140.0,2.1,2.1,
2018-08-27 01:36:00+00:00,140.0,2.1,2.6,
2018-08-27 01:42:00+00:00,150.0,2.1,2.6,
2018-08-27 01:48:00+00:00,150.0,2.1,2.6,
2018-08-27 01:54:00+00:00,140.0,2.6,2.6,
2018-08-27 02:00:00+00:00,140.0,2.1,2.6,
2018-08-27 02:06:00+00:00,150.0,2.1,2.6,
2018-08-27 02:12:00+00:00,150.0,2.1,2.6,
2018-08-27 02:18:00+00:00,130.0,1.5,2.1,
2018-08-27 02:24:00+00:00,130.0,2.1,2.1,
2018-08-27 02:30:00+00:00,140.0,2.1,2.1,
2018-08-27 02:36:00+00:00,140.0,2.1,2.6,
2018-08-27 02:42:00+00:00,120.0,1.5,2.1,
2018-08-27 02:48:00+00:00,110.0,1.5,2.1,
2018-08-27 02:54:00+00:00,100.0,1.0,1.5,
2018-08-27 03:00:00+00:00,90.0,1.0,1.0,
2018-08-27 03:06:00+00:00,80.0,1.0,1.5,
2018-08-27 03:12:00+00:00,90.0,1.5,2.1,
2018-08-27 03:18:00+00:00,90.0,1.5,2.1,
2018-08-27 03:24:00+00:00,90.0,1.5,2.1,
2018-08-27 03:30:00+00:00,100.0,2.1,2.6,
2018-08-27 03:36:00+00:00,90.0,1.5,2.1,
2018-08-27 03:42:00+00:00,90.0,1.5,2.1,
2018-08-27 03:48:00+00:00,120.0,1.5,2.1,
2018-08-27 03:54:00+00:00,120.0,1.5,2.1,
2018-08-27 04:00:00+00:00,120.0,1.5,2.1,
2018-08-27 04:06:00+00:00,110.0,2.1,2.1,
