date_time,wind_from_direction (degree),wind_speed (m/s),wind_speed_of_gust (m/s),upward_air_velocity (m/s)
2018-08-26 12:00:00+00:00,10.0,4.1,4.6,
2018-08-26 13:00:00+00:00,10.0,3.1,4.1,
2018-08-26 14:00:00+00:00,30.0,4.6,5.1,
2018-08-26 15:00:00+00:00,50.0,5.1,5.7,
2018-08-26 16:00:00+00:00,80.0,5.7,6.2,
2018-08-26 17:00:00+00:00,80.0,6.2,6.7,
2018-08-26 18:00:00+00:00,70.0,5.1,5.7,
2018-08-26 19:00:00+00:00,80.0,5.7,6.2,
2018-08-26 20:00:00+00:00,80.0,5.1,6.2,
2018-08-26 21:00:00+00:00,80.0,4.6,5.1,
2018-08-26 22:00:00+00:00,100.0,4.1,4.1,
2018-08-26 23:00:00+00:00,100.0,4.1,4.6,
2018-08-27 00:00:00+00:00,100.0,4.1,5.1,
2018-08-27 01:00:00+00:00,90.0,3.1,3.1,
2018-08-27 02:00:00+00:00,120.0,3.1,3.1,
2018-08-27 03:00:00+00:00,140.0,3.1,3.1,
2018-08-27 04:00:00+00:00,150.0,3.1,4.1,
2018-08-27 05:00:00+00:00,150.0,2.1,2.6,
2018-08-27 06:00:00+00:00,140.0,2.1,2.6,
2018-08-27 07:00:00+00:00,130.0,1.0,1.5,
2018-08-27 08:00:00+00:00,310.0,1.0,1.5,
2018-08-27 09:00:00+00:00,320.0,1.0,1.5,
2018-08-27 10:00:00+00:00,320.0,1.5,2.1,
2018-08-27 11:00:00+00:00,340.0,2.6,3.6,
2018-08-27 12:00:00+00:00,360.0,3.1,3.6,
2018-08-27 13:00:00+00:00,30.0,3.6,4.1,
2018-08-27 14:00:00+00:00,70.0,2.6,3.1,
2018-08-27 15:00:00+00:00,120.0,4.6,4.6,
2018-08-27 16:00:00+00:00,90.0,2.1,2.6,
2018-08-27 17:00:00+00:00,90.0,2.1,2.6,
2018-08-27 18:00:00+00:00,110.0,3.6,4.1,
2018-08-27 19:00:00+00:00,110.0,2.6,3.1,
2018-08-27 20:00:00+00:00,120.0,4.6,5.7,
2018-08-27 21:00:00+00:00,130.0,4.1,4.6,
2018-08-27 22:00:00+00:00,130.0,4.1,4.1,
2018-08-27 23:00:00+00:00,170.0,3.1,3.6,
2018-08-28 00:00:00+00:00,150.0,3.6,4.1,
2018-08-28 01:00:00+00:00,150.0,3.6,4.1,
2018-08-28 02:00:00+00:00,180.0,3.6,4.1,
2018-08-28 03:00:00+00:00,170.0,4.1,4.6,
2018-08-28 04:00:00+00:00,180.0,3.1,3.6,
2018-08-28 05:00:00+00:00,190.0,4.6,5.7,
2018-08-28 06:00:00+00:00,180.0,3.6,4.1,
2018-08-28 07:00:00+00:00,180.0,4.6,5.1,
2018-08-28 08:00:00+00:00,,0.0,0.5,
2018-08-28 09:00:00+00:00,190.0,2.6,3.1,
2018-08-28 10:00:00+00:00,210.0,2.1,2.1,
2018-08-28 11:00:00+00:00,140.0,1.5,2.1,
2018-08-28 12:00:00+00:00,130.0,1.0,1.5,
2018-08-28 13:00:00+00:00,,0.0,0.5,
2018-08-28 14:00:00+00:00,160.0,6.2,6.7,
2018-08-28 15:00:00+00:00,180.0,7.2,8.8,
2018-08-28 16:00:00+00:00,200.0,3.1,4.1,
2018-08-28 17:00:00+00:00,170.0,4.6,5.1,
2018-08-28 18:00:00+00:00,220.0,5.1,6.2,
2018-08-28 19:00:00+00:00,210.0,11.3,12.4,
2018-08-28 20:00:00+00:00,210.0,7.2,8.2,
2018-08-28 21:00:00+00:00,330.0,1.5,2.6,
2018-08-28 22:00:00+00:00,110.0,4.6,5.1,
2018-08-28 23:00:00+00:00,150.0,7.2,7.7,
2018-08-29 00:00:00+00:00,140.0,7.7,8.2,
2018-08-29 01:00:00+00:00,170.0,6.7,7.7,
2018-08-29 02:00:00+00:00,170.0,5.7,6.2,
2018-08-29 03:00:00+00:00,180.0,5.7,6.2,
2018-08-29 04:00:00+00:00,200.0,6.2,7.7,
2018-08-29 05:00:00+00:00,210.0,6.2,7.2,
2018-08-29 06:00:00+00:00,220.0,4.1,5.1,
2018-08-29 07:00:00+00:00,230.0,3.6,4.1,
2018-08-29 08:00:00+00:00,310.0,1.0,1.5,
2018-08-29 09:00:00+00:00,330.0,1.0,1.0,
2018-08-29 10:00:00+00:00,360.0,1.5,2.1,
2018-08-29 11:00:00+00:00,360.0,2.1,2.1,
2018-08-29 12:00:00+00:00,,0.0,0.0,
