date_time,wind_from_direction (degree),wind_speed (m/s),wind_speed_of_gust (m/s),upward_air_velocity (m/s)
2018-08-26 12:00:00+00:00,,0.0,0.5,
2018-08-26 12:10:00+00:00,,0.0,0.5,
2018-08-26 12:20:00+00:00,,0.0,0.5,
2018-08-26 12:30:00+00:00,,0.0,1.0,
2018-08-26 12:40:00+00:00,,0.0,0.5,
2018-08-26 12:50:00+00:00,,0.0,0.5,
2018-08-26 13:00:00+00:00,,0.0,0.5,
2018-08-26 13:10:00+00:00,,0.0,1.0,
2018-08-26 13:20:00+00:00,,0.0,0.5,
2018-08-26 13:30:00+00:00,,0.0,0.5,
2018-08-26 13:40:00+00:00,,0.0,0.0,
2018-08-26 13:50:00+00:00,,0.0,0.5,
2018-08-26 14:00:00+00:00,,0.0,0.5,
2018-08-26 14:10:00+00:00,,0.0,0.0,
2018-08-26 14:20:00+00:00,,0.0,0.0,
2018-08-26 14:30:00+00:00,,0.0,0.0,
2018-08-26 14:40:00+00:00,,0.0,0.0,
2018-08-26 14:50:00+00:00,,0.0,0.0,
2018-08-26 15:00:00+00:00,,0.0,0.0,
2018-08-26 15:10:00+00:00,110.0,0.5,1.0,
2018-08-26 15:20:00+00:00,140.0,1.0,1.5,
2018-08-26 15:30:00+00:00,,0.0,1.0,
2018-08-26 15:40:00+00:00,150.0,1.0,1.5,
2018-08-26 15:50:00+00:00,170.0,1.0,1.5,
2018-08-26 16:00:00+00:00,180.0,2.1,2.1,
2018-08-26 16:10:00+00:00,190.0,1.5,2.6,
2018-08-26 16:20:00+00:00,190.0,2.1,2.1,
2018-08-26 16:30:00+00:00,180.0,2.1,2.6,
2018-08-26 16:40:00+00:00,180.0,2.1,2.6,
2018-08-26 16:50:00+00:00,200.0,2.6,3.1,
2018-08-26 17:00:00+00:00,200.0,2.6,3.1,
2018-08-26 17:10:00+00:00,190.0,2.1,3.1,
2018-08-26 17:20:00+00:00,190.0,1.5,2.6,
2018-08-26 17:30:00+00:00,190.0,1.5,2.1,
2018-08-26 17:40:00+00:00,190.0,1.5,2.1,
2018-08-26 17:50:00+00:00,200.0,1.5,2.1,
2018-08-26 18:00:00+00:00,180.0,2.1,2.6,
2018-08-26 18:10:00+00:00,190.0,2.1,3.1,
2018-08-26 18:20:00+00:00,180.0,2.6,3.1,
2018-08-26 18:30:00+00:00,190.0,2.1,3.1,
2018-08-26 18:40:00+00:00,190.0,2.1,3.1,
2018-08-26 18:50:00+00:00,180.0,2.1,2.6,
2018-08-26 19:00:00+00:00,190.0,2.1,2.6,
2018-08-26 19:10:00+00:00,180.0,2.6,3.1,
2018-08-26 19:20:00+00:00,190.0,2.6,3.1,
2018-08-26 19:30:00+00:00,190.0,2.1,2.6,
2018-08-26 19:40:00+00:00,180.0,1.5,2.6,
2018-08-26 19:50:00+00:00,190.0,1.5,2.1,
2018-08-26 20:00:00+00:00,210.0,2.1,2.6,
2018-08-26 20:10:00+00:00,190.0,3.1,3.6,
2018-08-26 20:20:00+00:00,200.0,2.1,3.1,
2018-08-26 20:30:00+00:00,230.0,1.0,2.6,
2018-08-26 20:40:00+00:00,250.0,1.5,2.1,
2018-08-26 20:50:00+00:00,240.0,1.0,2.1,
2018-08-26 21:00:00+00:00,240.0,2.1,2.6,
2018-08-26 21:10:00+00:00,240.0,0.5,2.6,
2018-08-26 21:20:00+00:00,,0.0,1.5,
2018-08-26 21:30:00+00:00,200.0,2.1,2.1,
2018-08-26 21:40:00+00:00,200.0,1.5,2.1,
2018-08-26 21:50:00+00:00,190.0,1.5,2.6,
