,latitude,longitude,eventName,hwmTypeName,hwmQualityName,verticalDatumName,verticalMethodName,approvalMember,markerName,horizontalMethodName,horizontalDatumName,flagMemberName,surveyMemberName,site_no,siteDescription,sitePriorityName,networkNames,stateName,countyName,siteZone,sitePermHousing,site_latitude,site_longitude,hwm_id,waterbody,site_id,event_id,hwm_type_id,hwm_quality_id,hwm_locationdescription,latitude_dd,longitude_dd,survey_date,elev_ft,vdatum_id,vcollect_method_id,bank,approval_id,marker_id,hcollect_method_id,hwm_environment,flag_date,stillwater,hdatum_id,flag_member_id,survey_member_id,hwm_label,files,height_above_gnd,hwm_notes,uncertainty,hwm_uncertainty,peak_summary_id,elev_m
0,29.0314333333333,-80.9159,Matthew October 2016,Debris,Poor: +/- 0.40 ft,NAVD88,Level Gun,Darrell Lambeth,Paint,Map (digital or paper),WGS84 (from Digital Map),Corin Downs,Corin Downs,FLVOL03145,New Smyrna Beach Fishing Pier,,South Atlantic,FL,Volusia County,0,Yes,29.0314333333333,-80.9159,16431,Indian River,3145,135,2,4,DEBRIS LINE OF LEAVES ON SIDEWALK,29.0314333333333,-80.9159,2016-10-08T05:00:00,0.382,2,2,N/A,2104,3,4,Coastal,2016-10-08T05:00:00,0.0,4,101,101,no_label,[],,,,,,0.11643360000000001
1,30.5105277777777,-81.4608333333333,Matthew October 2016,Debris,Poor: +/- 0.40 ft,NAVD88,Level Gun,,Paint,Map (digital or paper),WGS84 (from Digital Map),Corin Downs,Corin Downs,FLDUV03108,Park entrance when you cross the  1A bridge  sign for Big Talbot Island State Park on right. Inside piling at edge of rocks underneath wooden dock at boat ramp,,South Atlantic,FL,Duval County,0,Yes,30.5105277777777,-81.4608333333333,16433,Sawpit Creek,3108,135,2,4,,30.5105277777777,-81.4608333333333,2016-10-08T05:00:00,6.764,2,2,N/A,,3,4,Riverine,2016-10-08T05:00:00,0.0,4,101,101,no_label,[],,,,,,2.0616672
2,31.958255,-81.011393,Matthew October 2016,Debris,Fair: +/- 0.20 ft,NAVD88,RT-GNSS,,Nail and HWM tag,RT-GNSS,NAD83,Marcie Cruz,Brian McDowell,GACHA17904,North side of Skidaway Island at Landing's Harbor marina.,,,GA,Chatham County,,No,31.958255,-81.011393,16434,Wilmington River,17904,135,2,3,"The HWM is in close proximity to a HOBO site on the east side of the sea wall. Pin is located on southeast side of building on blue lattice deck border near fuel pumps.  Survey location was a bust, horizontal location is approximate based on hand-held gps.",31.958255,-81.011393,2016-10-10T04:00:00,8.14,2,6,N/A,,6,6,Coastal,2016-10-09T04:00:00,0.0,2,1711,1724,no_label,[],0.63,HWM may have resulted from wave action.,0.01,0.2,,2.481072
3,31.939697,-81.025041,Matthew October 2016,Debris,Excellent: +/- 0.05 ft,NAVD88,RT-GNSS,,Stake,RT-GNSS,NAD83,Marcie Cruz,Brian McDowell,GACHA17905,"Backyard of 4 Howley Lane, Savannah, GA 31411. Stake is located ~20 ft from house near edge of lawn near landscaping on southeast side of property.",,,GA,Chatham County,,No,31.939697,-81.025041,16435,Romerly Marsh Creek,17905,135,2,1,"Stake is located in the backyard of 4 Howley Lane, Savannah, GA 31411. The stake was placed ~20 ft from the house in the lawn near the landscaping. High water mark was found on chair and a HWM was line leveled to a stake from a moveable structure.",31.939697,-81.025041,2016-10-10T04:00:00,6.96,2,6,Left,,7,6,Coastal,2016-10-09T04:00:00,0.0,2,1711,1724,no_label,[],0.98,,0.04,0.05,,2.121408
4,31.976,-81.001,Matthew October 2016,Debris,Poor: +/- 0.40 ft,NAVD88,RT-GNSS,,Stake,Phone/Car GPS,NAD83,Paul Ankcorn,Paul Ankcorn,GACHA17906,Behind house located at 1736 Wilmington Island Road. GA 31410,,,GA,Chatham County,,No,31.976,-81.001,16436,Unknown,17906,135,2,4,"Top of stake located in back yeard of house 8.7 ft from sea wall, and 21 ft. south from dock walkway",31.976,-81.001,2016-10-11T04:00:00,10.94,2,6,N/A,,7,3,Riverine,2016-10-09T04:00:00,0.0,2,873,873,no_label,[],0.3,"Permission was given by neighbor, he said he would contact landowner.",0.02,0.4,,3.334512
5,31.97278,-81.00003,Matthew October 2016,Seed line,Good: +/- 0.10 ft,NAVD88,RT-GNSS,,Stake,Phone/Car GPS,NAD83,Timothy Pojunas,Timothy Pojunas,GACHA17907,1852 East Boulevard,,,GA,Chatham County,,No,31.97278,-81.00003,16437,Atlantic,17907,135,5,2,,31.97278,-81.00003,2016-10-11T04:00:00,7.54,2,6,N/A,,7,3,Riverine,2016-10-09T04:00:00,0.0,2,1723,1723,no_label,[],,,0.02,,,2.2981920000000002
6,31.890869,-81.060562,Matthew October 2016,Seed line,Good: +/- 0.10 ft,NAVD88,RT-GNSS,,Nail,Phone/Car GPS,NAD83,James Chapman,James Chapman,GACHA17908,"Mark on beginning of dock located behind house at 2 delegals retreat, savannah ga, near delegal creek marina.",,,GA,Chatham County,,No,31.890869,-81.060562,16438,delegal creek,17908,135,5,2,"good seedline just below dock deck on southern corner near bench. marked with sharpie line, masonry nail and pink flagging. pink flagging also on deck rail just above mark.",31.890869,-81.060562,2016-10-10T04:00:00,7.05,2,6,N/A,,5,3,Coastal,2016-10-09T04:00:00,0.0,2,1722,1722,no_label,[],3.35,,0.31,0.1,,2.14884
7,31.958408,-81.012392,Matthew October 2016,Debris,Poor: +/- 0.40 ft,NAVD88,RT-GNSS,,Stake,RT-GNSS,NAD83,James Chapman,James Chapman,GACHA17909,Washline on edge of parking lot near dry docks at Landings Harbor Marina,,,GA,Chatham County,,No,31.958408,-81.012392,16439,Wilmington river,17909,135,2,4,"cutline in landscaping beds on edge of parking lot near boat dry docks at Landings Harbor Marina, marked with stake and pink flagging.",31.958408,-81.012392,2016-10-10T04:00:00,8.58,2,6,N/A,,7,6,Riverine,2016-10-09T04:00:00,0.0,2,1722,1722,no_label,[],0.0,,0.04,0.4,,2.615184
8,31.910151,-81.071186,Matthew October 2016,Stain line,Poor: +/- 0.40 ft,NAVD88,RT-GNSS,,Nail and HWM tag,RT-GNSS,NAD83,James Chapman,James Chapman,GACHA17910,"Poor seedline on pine tree behind house at 530 Green Island Rd, Savannah GA. Tree is one support for triangular treehouse in NW corner of back yard, near small dock. Marked with Nail/HWM disc and pink flagging. Additional flagging on limb above mark.",,,GA,Chatham County,,No,31.910151,-81.071186,16440,Delegal Creek,17910,135,6,4,"Poor seedline on pine tree behind house at 530 Green Island Rd, Savannah GA. Tree is one support for triangular treehouse in NW corner of back yard, near small dock. Marked with Nail/HWM disc and pink flagging. Additional flagging on limb above mark.",31.910151,-81.071186,2016-10-10T04:00:00,7.85,2,6,Left,,6,6,Coastal,2016-10-10T04:00:00,0.0,2,1722,1722,no_label,[],1.26,,0.04,0.4,,2.39268
9,31.9894677,-81.0215853,Matthew October 2016,Debris,Excellent: +/- 0.05 ft,,RT-GNSS,,Nail,Phone/Car GPS,NAD83,Marcie Cruz,Robert Atkinson,GACHA17911,Skidaway River near Skidaway Institute of Oceanography,,,GA,Chatham County,,No,31.9894677,-81.0215853,16441,Skidaway River,17911,135,2,1,"Nail is located on the north side of a plant operations storage shed containing lawn mowers. The shed is north of the water tower, east of greenhouses, and west of artificial ponds. The HWM is marked with a nail and vertical tape. NOTE mark was destroyed, new mark wash line outside geochem lab",31.9894677,-81.0215853,2016-10-09T05:00:00,7.99,,6,N/A,,5,3,Riverine,2016-10-09T05:00:00,1.0,2,1711,1341,no_label,[],0.96,"CORRECTED: TKoenig adjusted the site coordinates to match these HWM coordinates per email with Robert Atkinson on Oct.17, 2016.",0.31,0.02,,2.4353520000000004
