date_time,water_surface_height_above_reference_datum (m)
2016-09-26 12:00:00,0.572
2016-09-26 12:06:00,0.559
2016-09-26 12:12:00,0.541
2016-09-26 12:18:00,0.514
2016-09-26 12:24:00,0.5
2016-09-26 12:30:00,0.475
2016-09-26 12:36:00,0.47
2016-09-26 12:42:00,0.446
2016-09-26 12:48:00,0.44
2016-09-26 12:54:00,0.414
2016-09-26 13:00:00,0.41
2016-09-26 13:06:00,0.39
2016-09-26 13:12:00,0.366
2016-09-26 13:18:00,0.359
2016-09-26 13:24:00,0.351
2016-09-26 13:30:00,0.343
2016-09-26 13:36:00,0.332
2016-09-26 13:42:00,0.318
2016-09-26 13:48:00,0.322
2016-09-26 13:54:00,0.303
2016-09-26 14:00:00,0.286
2016-09-26 14:06:00,0.28
2016-09-26 14:12:00,0.28
2016-09-26 14:18:00,0.281
2016-09-26 14:24:00,0.288
2016-09-26 14:30:00,0.276
2016-09-26 14:36:00,0.258
2016-09-26 14:42:00,0.269
2016-09-26 14:48:00,0.274
2016-09-26 14:54:00,0.273
2016-09-26 15:00:00,0.268
2016-09-26 15:06:00,0.268
2016-09-26 15:12:00,0.281
2016-09-26 15:18:00,0.284
2016-09-26 15:24:00,0.283
2016-09-26 15:30:00,0.285
2016-09-26 15:36:00,0.3
2016-09-26 15:42:00,0.318
2016-09-26 15:48:00,0.321
2016-09-26 15:54:00,0.321
2016-09-26 16:00:00,0.337
2016-09-26 16:06:00,0.353
2016-09-26 16:12:00,0.352
2016-09-26 16:18:00,0.372
2016-09-26 16:24:00,0.372
2016-09-26 16:30:00,0.394
2016-09-26 16:36:00,0.403
2016-09-26 16:42:00,0.417
2016-09-26 16:48:00,0.434
2016-09-26 16:54:00,0.442
2016-09-26 17:00:00,0.472
2016-09-26 17:06:00,0.475
2016-09-26 17:12:00,0.496
2016-09-26 17:18:00,0.518
2016-09-26 17:24:00,0.531
2016-09-26 17:30:00,0.544
2016-09-26 17:36:00,0.559
2016-09-26 17:42:00,0.584
2016-09-26 17:48:00,0.597
2016-09-26 17:54:00,0.615
2016-09-26 18:00:00,0.633
2016-09-26 18:06:00,0.66
2016-09-26 18:12:00,0.689
2016-09-26 18:18:00,0.703
2016-09-26 18:24:00,0.711
2016-09-26 18:30:00,0.726
2016-09-26 18:36:00,0.753
2016-09-26 18:42:00,0.763
2016-09-26 18:48:00,0.793
2016-09-26 18:54:00,0.804
2016-09-26 19:00:00,0.819
2016-09-26 19:06:00,0.846
2016-09-26 19:12:00,0.869
2016-09-26 19:18:00,0.873
2016-09-26 19:24:00,0.892
2016-09-26 19:30:00,0.904
