date_time,sea_surface_wave_significant_height (m),sea_surface_wave_peak_period (s),sea_surface_wave_mean_period (s),sea_water_temperature (c),sea_surface_wave_to_direction (degree)
2016-09-24 15:00:00+00:00,0.7,10.0,,,284.0
2016-09-24 16:00:00+00:00,0.8,10.0,,,283.0
2016-09-24 17:00:00+00:00,0.7,10.0,,,286.0
2016-09-24 18:00:00+00:00,0.7,9.5,,,284.0
2016-09-24 19:00:00+00:00,0.7,9.1,,,289.0
2016-09-24 20:00:00+00:00,0.7,9.1,,,293.0
2016-09-24 21:00:00+00:00,0.7,9.1,,,291.0
2016-09-24 22:00:00+00:00,0.7,10.0,,,289.0
2016-09-24 23:00:00+00:00,0.8,9.5,,,281.0
2016-09-25 00:00:00+00:00,0.8,10.0,,,280.0
2016-09-25 01:00:00+00:00,0.7,9.1,,,282.0
2016-09-25 02:00:00+00:00,0.7,10.0,,,281.0
2016-09-25 03:00:00+00:00,0.8,9.5,,,279.0
2016-09-25 04:00:00+00:00,0.7,10.0,,,279.0
2016-09-25 05:00:00+00:00,0.7,9.1,,,282.0
2016-09-25 06:00:00+00:00,0.7,9.1,,,280.0
2016-09-25 07:00:00+00:00,0.7,8.7,,,283.0
2016-09-25 08:00:00+00:00,0.7,9.5,,,286.0
2016-09-25 09:00:00+00:00,0.7,9.5,,,286.0
2016-09-25 10:00:00+00:00,0.7,8.7,,,287.0
2016-09-25 11:00:00+00:00,0.7,9.5,,,288.0
2016-09-25 12:00:00+00:00,0.7,9.5,,,288.0
2016-09-25 13:00:00+00:00,0.6,9.5,,,284.0
2016-09-25 14:00:00+00:00,0.7,9.1,,,281.0
2016-09-25 15:00:00+00:00,0.7,8.7,,,282.0
2016-09-25 16:00:00+00:00,0.7,9.5,,,279.0
2016-09-25 17:00:00+00:00,0.7,9.5,,,281.0
2016-09-25 18:00:00+00:00,0.7,8.0,,,279.0
2016-09-25 19:00:00+00:00,0.7,9.5,,,279.0
2016-09-25 20:00:00+00:00,0.6,10.0,,,281.0
2016-09-25 21:00:00+00:00,0.7,9.5,,,278.0
2016-09-25 22:00:00+00:00,0.7,9.1,,,279.0
2016-09-25 23:00:00+00:00,0.6,9.5,,,280.0
2016-09-26 00:00:00+00:00,0.7,9.5,,,278.0
2016-09-26 01:00:00+00:00,0.7,9.5,,,277.0
2016-09-26 02:00:00+00:00,0.7,10.0,,,268.0
2016-09-26 03:00:00+00:00,0.7,9.1,,,273.0
2016-09-26 04:00:00+00:00,0.8,9.1,,,273.0
2016-09-26 05:00:00+00:00,0.8,10.0,,,273.0
2016-09-26 06:00:00+00:00,0.7,9.5,,,277.0
2016-09-26 07:00:00+00:00,0.6,8.0,,,275.0
2016-09-26 08:00:00+00:00,0.7,12.5,,,277.0
2016-09-26 09:00:00+00:00,0.6,8.7,,,273.0
2016-09-26 10:00:00+00:00,0.6,9.1,,,276.0
2016-09-26 11:00:00+00:00,0.6,9.1,,,271.0
2016-09-26 12:00:00+00:00,0.6,11.1,,,270.0
2016-09-26 13:00:00+00:00,0.7,11.1,,,270.0
2016-09-26 14:00:00+00:00,0.7,11.1,,,269.0
2016-09-26 15:00:00+00:00,0.6,8.7,,,270.0
2016-09-26 16:00:00+00:00,0.6,9.1,,,265.0
2016-09-26 17:00:00+00:00,0.7,8.7,,,269.0
2016-09-26 18:00:00+00:00,0.7,11.1,,,268.0
2016-09-26 19:00:00+00:00,0.7,11.1,,,269.0
2016-09-26 20:00:00+00:00,0.7,11.8,,,268.0
2016-09-26 21:00:00+00:00,0.7,11.1,,,270.0
2016-09-26 22:00:00+00:00,0.7,11.1,,,269.0
2016-09-26 23:00:00+00:00,0.6,8.3,,,271.0
2016-09-27 00:00:00+00:00,0.7,11.8,,,269.0
2016-09-27 01:00:00+00:00,0.7,8.3,,,273.0
2016-09-27 02:00:00+00:00,0.7,11.1,,,271.0
2016-09-27 03:00:00+00:00,0.8,8.3,,,270.0
2016-09-27 04:00:00+00:00,0.8,8.3,,,272.0
2016-09-27 05:00:00+00:00,0.9,4.1,,,269.0
2016-09-27 06:00:00+00:00,0.9,4.3,,,273.0
2016-09-27 07:00:00+00:00,0.9,4.3,,,271.0
2016-09-27 08:00:00+00:00,0.9,11.1,,,277.0
2016-09-27 09:00:00+00:00,0.8,4.1,,,276.0
