date_time,sea_surface_wave_significant_height (m),sea_surface_wave_peak_period (s),sea_surface_wave_mean_period (s),sea_water_temperature (c),sea_surface_wave_to_direction (degree)
2016-09-24 15:33:00+00:00,0.5,10.2,,,
2016-09-24 16:33:00+00:00,0.39,11.1,,,
2016-09-24 17:33:00+00:00,0.43,11.1,,,
2016-09-24 18:33:00+00:00,0.46,11.1,,,
2016-09-24 19:33:00+00:00,0.44,11.1,,,
2016-09-24 20:33:00+00:00,0.44,10.2,,,
2016-09-24 21:33:00+00:00,0.44,10.2,,,
2016-09-24 22:33:00+00:00,0.43,11.1,,,
2016-09-24 23:33:00+00:00,0.41,10.2,,,
2016-09-25 00:33:00+00:00,0.4,9.4,,,
2016-09-25 01:33:00+00:00,0.41,10.2,,,
2016-09-25 02:33:00+00:00,0.47,10.2,,,
2016-09-25 03:33:00+00:00,0.38,10.2,,,
2016-09-25 04:33:00+00:00,0.6,11.1,,,
2016-09-25 05:33:00+00:00,0.47,10.2,,,
2016-09-25 06:33:00+00:00,0.49,10.2,,,
2016-09-25 07:33:00+00:00,0.47,11.1,,,
2016-09-25 08:33:00+00:00,0.4,12.1,,,
2016-09-25 09:33:00+00:00,0.41,11.1,,,
2016-09-25 10:33:00+00:00,0.37,11.1,,,
2016-09-25 11:33:00+00:00,0.39,11.1,,,
2016-09-25 12:33:00+00:00,0.42,11.1,,,
2016-09-25 13:33:00+00:00,0.38,11.1,,,
2016-09-25 14:33:00+00:00,0.44,11.1,,,
2016-09-25 15:33:00+00:00,0.46,11.1,,,
2016-09-25 16:33:00+00:00,0.55,10.2,,,
2016-09-25 17:33:00+00:00,0.45,10.2,,,
2016-09-25 18:33:00+00:00,0.41,10.2,,,
2016-09-25 19:33:00+00:00,0.45,10.2,,,
2016-09-25 20:33:00+00:00,0.48,4.5,,,
2016-09-25 21:33:00+00:00,0.49,4.5,,,
2016-09-25 22:33:00+00:00,0.47,4.6,,,
2016-09-25 23:33:00+00:00,0.53,4.5,,,
2016-09-26 00:33:00+00:00,0.5,4.8,,,
2016-09-26 01:33:00+00:00,0.48,9.4,,,
2016-09-26 02:33:00+00:00,0.49,4.6,,,
2016-09-26 03:33:00+00:00,0.46,4.6,,,
2016-09-26 04:33:00+00:00,0.52,5.0,,,
2016-09-26 05:33:00+00:00,0.53,4.5,,,
2016-09-26 06:33:00+00:00,0.47,4.6,,,
2016-09-26 07:33:00+00:00,0.49,5.7,,,
2016-09-26 08:33:00+00:00,0.49,4.8,,,
2016-09-26 09:33:00+00:00,0.44,4.6,,,
2016-09-26 10:33:00+00:00,0.42,9.4,,,
2016-09-26 11:33:00+00:00,0.4,9.4,,,
2016-09-26 12:33:00+00:00,0.4,9.4,,,
2016-09-26 13:33:00+00:00,0.33,8.2,,,
2016-09-26 14:33:00+00:00,0.37,5.0,,,
2016-09-26 15:33:00+00:00,0.37,8.8,,,
2016-09-26 16:33:00+00:00,0.41,4.5,,,
2016-09-26 17:33:00+00:00,0.43,8.8,,,
2016-09-26 18:33:00+00:00,0.44,4.5,,,
2016-09-26 19:33:00+00:00,0.41,5.2,,,
2016-09-26 20:33:00+00:00,0.46,4.6,,,
2016-09-26 21:33:00+00:00,0.46,4.5,,,
2016-09-26 22:33:00+00:00,0.41,4.6,,,
2016-09-26 23:33:00+00:00,0.39,8.2,,,
2016-09-27 00:33:00+00:00,0.37,5.0,,,
2016-09-27 01:33:00+00:00,0.39,8.8,,,
2016-09-27 02:33:00+00:00,0.4,4.5,,,
2016-09-27 03:33:00+00:00,0.39,4.8,,,
2016-09-27 04:33:00+00:00,0.46,4.8,,,
2016-09-27 05:33:00+00:00,0.41,4.6,,,
2016-09-27 06:33:00+00:00,0.64,4.5,,,
2016-09-27 07:33:00+00:00,0.57,4.5,,,
2016-09-27 08:33:00+00:00,0.56,4.5,,,
2016-09-27 09:33:00+00:00,0.58,4.5,,,
2016-09-27 10:33:00+00:00,0.55,4.5,,,
2016-09-27 11:33:00+00:00,0.5,4.8,,,
2016-09-27 12:33:00+00:00,0.48,7.7,,,
2016-09-27 13:33:00+00:00,0.42,4.6,,,
2016-09-27 14:33:00+00:00,0.48,6.9,,,
2016-09-27 15:33:00+00:00,0.46,6.9,,,
2016-09-27 16:33:00+00:00,0.43,6.9,,,
2016-09-27 17:33:00+00:00,0.43,5.7,,,
2016-09-27 18:33:00+00:00,0.52,12.1,,,
2016-09-27 19:33:00+00:00,0.49,6.5,,,
2016-09-27 20:33:00+00:00,0.44,4.8,,,
2016-09-27 21:33:00+00:00,0.5,7.3,,,
2016-09-27 22:33:00+00:00,0.47,6.2,,,
2016-09-27 23:33:00+00:00,0.46,12.1,,,
2016-09-28 00:33:00+00:00,0.5,12.1,,,
2016-09-28 01:33:00+00:00,0.42,6.5,,,
2016-09-28 02:33:00+00:00,0.38,6.5,,,
2016-09-28 03:33:00+00:00,0.39,6.2,,,
2016-09-28 04:33:00+00:00,0.46,12.1,,,
2016-09-28 05:33:00+00:00,0.42,11.1,,,
2016-09-28 06:33:00+00:00,0.5,5.7,,,
2016-09-28 07:33:00+00:00,0.69,11.1,,,
2016-09-28 08:33:00+00:00,0.53,11.1,,,
2016-09-28 09:33:00+00:00,0.49,11.1,,,
2016-09-28 10:33:00+00:00,0.48,5.9,,,
2016-09-28 11:33:00+00:00,0.5,7.3,,,
2016-09-28 12:33:00+00:00,0.49,13.4,,,
2016-09-28 13:33:00+00:00,0.4,6.9,,,
2016-09-28 14:33:00+00:00,0.36,6.9,,,
2016-09-28 15:33:00+00:00,0.46,12.1,,,
2016-09-28 16:33:00+00:00,0.46,10.2,,,
2016-09-28 17:33:00+00:00,0.44,6.2,,,
2016-09-28 18:33:00+00:00,0.45,10.2,,,
2016-09-28 19:33:00+00:00,0.46,10.2,,,
2016-09-28 20:33:00+00:00,0.42,9.4,,,
2016-09-28 21:33:00+00:00,0.47,6.5,,,
2016-09-28 22:33:00+00:00,0.45,10.2,,,
2016-09-28 23:33:00+00:00,0.42,6.5,,,
2016-09-29 00:33:00+00:00,0.38,11.1,,,
2016-09-29 01:33:00+00:00,0.39,10.2,,,
2016-09-29 02:33:00+00:00,0.37,6.5,,,
2016-09-29 03:33:00+00:00,0.35,8.2,,,
2016-09-29 04:33:00+00:00,0.39,11.1,,,
2016-09-29 05:33:00+00:00,0.42,6.9,,,
2016-09-29 06:33:00+00:00,0.43,10.2,,,
2016-09-29 07:33:00+00:00,0.46,4.5,,,
2016-09-29 08:33:00+00:00,0.44,4.6,,,
2016-09-29 09:33:00+00:00,0.42,12.1,,,
2016-09-29 10:33:00+00:00,0.42,11.1,,,
2016-09-29 11:33:00+00:00,0.42,12.1,,,
2016-09-29 12:33:00+00:00,0.41,4.5,,,
2016-09-29 13:33:00+00:00,0.49,10.2,,,
2016-09-29 14:33:00+00:00,0.59,4.5,,,
2016-09-29 15:33:00+00:00,0.61,5.0,,,
2016-09-29 16:33:00+00:00,0.64,4.8,,,
2016-09-29 17:33:00+00:00,0.67,4.8,,,
2016-09-29 18:33:00+00:00,0.62,5.2,,,
2016-09-29 19:33:00+00:00,0.65,5.4,,,
2016-09-29 20:33:00+00:00,0.68,4.8,,,
2016-09-29 21:33:00+00:00,0.75,5.2,,,
2016-09-29 22:33:00+00:00,0.75,5.0,,,
2016-09-29 23:33:00+00:00,0.8,5.4,,,
2016-09-30 00:33:00+00:00,0.72,5.4,,,
2016-09-30 01:33:00+00:00,0.75,5.4,,,
2016-09-30 02:33:00+00:00,0.62,5.4,,,
2016-09-30 03:33:00+00:00,0.52,5.4,,,
2016-09-30 04:33:00+00:00,0.49,5.2,,,
2016-09-30 05:33:00+00:00,0.54,5.2,,,
2016-09-30 06:33:00+00:00,0.53,5.2,,,
2016-09-30 07:33:00+00:00,0.58,5.4,,,
2016-09-30 08:33:00+00:00,0.68,5.0,,,
2016-09-30 09:33:00+00:00,0.55,5.0,,,
2016-09-30 10:33:00+00:00,0.65,5.0,,,
2016-09-30 11:33:00+00:00,0.67,5.2,,,
2016-09-30 12:33:00+00:00,0.59,5.0,,,
2016-09-30 13:33:00+00:00,0.66,5.0,,,
2016-09-30 14:33:00+00:00,0.68,5.2,,,
2016-09-30 15:33:00+00:00,0.58,5.0,,,
2016-09-30 16:33:00+00:00,0.58,5.4,,,
2016-09-30 17:33:00+00:00,0.56,5.4,,,
2016-09-30 18:33:00+00:00,0.53,5.2,,,
2016-09-30 19:33:00+00:00,0.62,4.6,,,
2016-09-30 20:33:00+00:00,0.64,5.2,,,
2016-09-30 21:33:00+00:00,0.74,4.8,,,
2016-09-30 22:33:00+00:00,0.82,5.4,,,
2016-09-30 23:33:00+00:00,0.72,5.0,,,
2016-10-01 00:33:00+00:00,0.74,5.0,,,
2016-10-01 01:33:00+00:00,0.79,5.9,,,
2016-10-01 02:33:00+00:00,0.76,5.4,,,
2016-10-01 03:33:00+00:00,0.66,5.4,,,
2016-10-01 04:33:00+00:00,0.63,5.9,,,
2016-10-01 05:33:00+00:00,0.61,5.9,,,
2016-10-01 06:33:00+00:00,0.56,5.4,,,
2016-10-01 07:33:00+00:00,0.5,4.8,,,
2016-10-01 08:33:00+00:00,0.48,4.6,,,
2016-10-01 09:33:00+00:00,0.53,5.0,,,
2016-10-01 10:33:00+00:00,0.55,5.2,,,
2016-10-01 11:33:00+00:00,0.54,4.8,,,
2016-10-01 12:33:00+00:00,0.48,4.6,,,
2016-10-01 13:33:00+00:00,0.52,4.5,,,
2016-10-01 14:33:00+00:00,0.46,11.1,,,
2016-10-01 15:33:00+00:00,0.43,5.2,,,
2016-10-01 16:33:00+00:00,0.41,5.7,,,
2016-10-01 17:33:00+00:00,0.44,5.2,,,
2016-10-01 18:33:00+00:00,0.45,5.2,,,
2016-10-01 19:33:00+00:00,0.47,5.4,,,
2016-10-01 20:33:00+00:00,0.51,12.1,,,
2016-10-01 21:33:00+00:00,0.75,11.1,,,
2016-10-01 22:33:00+00:00,0.53,4.5,,,
2016-10-01 23:33:00+00:00,0.68,12.1,,,
2016-10-02 00:33:00+00:00,0.71,4.6,,,
2016-10-02 01:33:00+00:00,0.7,12.1,,,
2016-10-02 02:33:00+00:00,0.66,4.6,,,
2016-10-02 03:33:00+00:00,0.7,12.1,,,
2016-10-02 04:33:00+00:00,0.61,11.1,,,
2016-10-02 05:33:00+00:00,0.61,11.1,,,
2016-10-02 06:33:00+00:00,0.72,11.1,,,
2016-10-02 07:33:00+00:00,0.69,11.1,,,
2016-10-02 08:33:00+00:00,0.67,10.2,,,
2016-10-02 09:33:00+00:00,0.76,10.2,,,
2016-10-02 10:33:00+00:00,0.72,10.2,,,
2016-10-02 11:33:00+00:00,0.72,10.2,,,
2016-10-02 12:33:00+00:00,0.61,5.2,,,
2016-10-02 13:33:00+00:00,0.64,11.1,,,
2016-10-02 14:33:00+00:00,0.6,9.4,,,
2016-10-02 15:33:00+00:00,0.68,11.1,,,
2016-10-02 16:33:00+00:00,0.53,11.1,,,
2016-10-02 17:33:00+00:00,0.52,10.2,,,
2016-10-02 18:33:00+00:00,0.52,8.8,,,
2016-10-02 19:33:00+00:00,0.53,8.8,,,
2016-10-02 20:33:00+00:00,0.51,8.2,,,
2016-10-02 21:33:00+00:00,0.55,10.2,,,
2016-10-02 22:33:00+00:00,0.54,8.8,,,
2016-10-02 23:33:00+00:00,0.58,9.4,,,
2016-10-03 00:33:00+00:00,0.53,9.4,,,
2016-10-03 01:33:00+00:00,0.53,9.4,,,
2016-10-03 02:33:00+00:00,0.46,10.2,,,
2016-10-03 03:33:00+00:00,0.45,9.4,,,
2016-10-03 04:33:00+00:00,0.51,7.7,,,
2016-10-03 05:33:00+00:00,0.46,8.8,,,
2016-10-03 06:33:00+00:00,0.41,8.8,,,
2016-10-03 07:33:00+00:00,0.41,8.8,,,
2016-10-03 08:33:00+00:00,0.43,7.7,,,
2016-10-03 09:33:00+00:00,0.45,8.8,,,
2016-10-03 10:33:00+00:00,0.45,8.8,,,
2016-10-03 11:33:00+00:00,0.43,8.2,,,
2016-10-03 12:33:00+00:00,0.5,8.2,,,
2016-10-03 13:33:00+00:00,0.46,9.4,,,
2016-10-03 14:33:00+00:00,0.47,9.4,,,
2016-10-03 15:33:00+00:00,0.49,9.4,,,
2016-10-03 16:33:00+00:00,0.4,9.4,,,
2016-10-03 17:33:00+00:00,0.4,8.8,,,
2016-10-03 18:33:00+00:00,0.38,8.8,,,
2016-10-03 19:33:00+00:00,0.36,9.4,,,
2016-10-03 20:33:00+00:00,0.36,7.7,,,
2016-10-03 21:33:00+00:00,0.44,8.2,,,
2016-10-03 22:33:00+00:00,0.44,7.7,,,
2016-10-03 23:33:00+00:00,0.41,8.2,,,
2016-10-04 00:33:00+00:00,0.47,8.2,,,
2016-10-04 01:33:00+00:00,0.48,7.7,,,
2016-10-04 02:33:00+00:00,0.48,8.8,,,
2016-10-04 03:33:00+00:00,0.4,8.2,,,
2016-10-04 04:33:00+00:00,0.4,8.8,,,
2016-10-04 05:33:00+00:00,0.48,8.8,,,
2016-10-04 06:33:00+00:00,0.37,8.2,,,
2016-10-04 07:33:00+00:00,0.4,8.8,,,
2016-10-04 08:33:00+00:00,0.37,8.2,,,
2016-10-04 09:33:00+00:00,0.44,6.5,,,
2016-10-04 10:33:00+00:00,0.51,7.7,,,
2016-10-04 11:33:00+00:00,0.47,7.3,,,
2016-10-04 12:33:00+00:00,0.57,5.2,,,
2016-10-04 13:33:00+00:00,0.53,7.7,,,
2016-10-04 14:33:00+00:00,0.54,8.8,,,
2016-10-04 15:33:00+00:00,0.52,8.8,,,
2016-10-04 16:33:00+00:00,0.57,8.2,,,
2016-10-04 17:33:00+00:00,0.5,8.2,,,
2016-10-04 18:33:00+00:00,0.5,8.8,,,
2016-10-04 19:33:00+00:00,0.42,8.8,,,
2016-10-04 20:33:00+00:00,0.47,7.7,,,
2016-10-04 21:33:00+00:00,0.48,7.3,,,
2016-10-04 22:33:00+00:00,0.53,6.5,,,
2016-10-04 23:33:00+00:00,0.54,5.2,,,
2016-10-05 00:33:00+00:00,0.52,5.7,,,
2016-10-05 01:33:00+00:00,0.57,6.2,,,
2016-10-05 02:33:00+00:00,0.52,6.5,,,
2016-10-05 03:33:00+00:00,0.65,7.3,,,
2016-10-05 04:33:00+00:00,0.59,7.7,,,
2016-10-05 05:33:00+00:00,0.55,8.2,,,
