date_time,wind_from_direction (degree),wind_speed (m/s),wind_speed_of_gust (m/s),upward_air_velocity (m/s)
2016-09-24 15:00:00+00:00,300.0,4.0,4.0,
2016-09-24 15:10:00+00:00,310.0,4.0,4.0,
2016-09-24 15:20:00+00:00,320.0,3.0,4.0,
2016-09-24 15:30:00+00:00,330.0,3.0,4.0,
2016-09-24 15:40:00+00:00,320.0,3.0,3.0,
2016-09-24 15:50:00+00:00,330.0,2.0,3.0,
2016-09-24 16:00:00+00:00,340.0,2.0,3.0,
2016-09-24 16:10:00+00:00,350.0,2.0,3.0,
2016-09-24 16:20:00+00:00,360.0,3.0,4.0,
2016-09-24 16:30:00+00:00,10.0,3.0,4.0,
2016-09-24 16:40:00+00:00,350.0,3.0,5.0,
2016-09-24 16:50:00+00:00,360.0,4.0,6.0,
2016-09-24 17:00:00+00:00,10.0,7.0,8.0,
2016-09-24 17:10:00+00:00,20.0,8.0,10.0,
2016-09-24 17:20:00+00:00,20.0,9.0,11.0,
2016-09-24 17:30:00+00:00,20.0,9.0,11.0,
2016-09-24 17:40:00+00:00,20.0,9.0,11.0,
2016-09-24 17:50:00+00:00,20.0,8.0,10.0,
2016-09-24 18:00:00+00:00,20.0,8.0,9.0,
2016-09-24 18:10:00+00:00,10.0,8.0,9.0,
2016-09-24 18:20:00+00:00,10.0,8.0,9.0,
2016-09-24 18:30:00+00:00,20.0,7.0,9.0,
2016-09-24 18:40:00+00:00,50.0,6.0,8.0,
2016-09-24 18:50:00+00:00,70.0,6.0,8.0,
2016-09-24 19:00:00+00:00,70.0,7.0,8.0,
2016-09-24 19:10:00+00:00,70.0,7.0,8.0,
2016-09-24 19:20:00+00:00,70.0,7.0,8.0,
2016-09-24 19:30:00+00:00,70.0,6.0,8.0,
2016-09-24 19:40:00+00:00,70.0,6.0,7.0,
2016-09-24 19:50:00+00:00,70.0,6.0,8.0,
2016-09-24 20:00:00+00:00,70.0,7.0,8.0,
2016-09-24 20:10:00+00:00,70.0,7.0,8.0,
2016-09-24 20:20:00+00:00,70.0,7.0,8.0,
2016-09-24 20:30:00+00:00,70.0,7.0,8.0,
2016-09-24 20:40:00+00:00,70.0,7.0,8.0,
2016-09-24 20:50:00+00:00,70.0,7.0,8.0,
2016-09-24 21:00:00+00:00,70.0,7.0,9.0,
2016-09-24 21:10:00+00:00,70.0,7.0,9.0,
2016-09-24 21:20:00+00:00,70.0,8.0,9.0,
2016-09-24 21:30:00+00:00,70.0,8.0,9.0,
2016-09-24 21:40:00+00:00,70.0,8.0,9.0,
2016-09-24 21:50:00+00:00,80.0,8.0,9.0,
2016-09-24 22:00:00+00:00,80.0,8.0,9.0,
2016-09-24 22:10:00+00:00,80.0,8.0,10.0,
2016-09-24 22:20:00+00:00,80.0,8.0,10.0,
2016-09-24 22:30:00+00:00,80.0,9.0,10.0,
2016-09-24 22:40:00+00:00,70.0,9.0,11.0,
2016-09-24 22:50:00+00:00,70.0,9.0,11.0,
2016-09-24 23:00:00+00:00,70.0,9.0,11.0,
2016-09-24 23:10:00+00:00,70.0,10.0,12.0,
2016-09-24 23:20:00+00:00,70.0,9.0,11.0,
2016-09-24 23:30:00+00:00,70.0,9.0,11.0,
2016-09-24 23:40:00+00:00,70.0,9.0,11.0,
2016-09-24 23:50:00+00:00,70.0,9.0,11.0,
2016-09-25 00:00:00+00:00,70.0,9.0,11.0,
2016-09-25 00:10:00+00:00,70.0,9.0,11.0,
2016-09-25 00:20:00+00:00,70.0,9.0,11.0,
2016-09-25 00:30:00+00:00,70.0,9.0,11.0,
2016-09-25 00:40:00+00:00,80.0,9.0,10.0,
2016-09-25 00:50:00+00:00,80.0,8.0,10.0,
2016-09-25 01:00:00+00:00,80.0,8.0,10.0,
2016-09-25 01:10:00+00:00,80.0,8.0,9.0,
2016-09-25 01:20:00+00:00,90.0,8.0,9.0,
2016-09-25 01:30:00+00:00,90.0,8.0,10.0,
2016-09-25 01:40:00+00:00,80.0,8.0,10.0,
2016-09-25 01:50:00+00:00,80.0,8.0,10.0,
2016-09-25 02:00:00+00:00,80.0,8.0,9.0,
2016-09-25 02:10:00+00:00,80.0,7.0,9.0,
2016-09-25 02:20:00+00:00,80.0,8.0,10.0,
2016-09-25 02:30:00+00:00,80.0,8.0,10.0,
2016-09-25 02:40:00+00:00,80.0,8.0,9.0,
2016-09-25 02:50:00+00:00,70.0,8.0,10.0,
2016-09-25 03:00:00+00:00,80.0,8.0,9.0,
2016-09-25 03:10:00+00:00,80.0,8.0,9.0,
2016-09-25 03:20:00+00:00,70.0,7.0,9.0,
2016-09-25 03:30:00+00:00,70.0,7.0,9.0,
2016-09-25 03:40:00+00:00,80.0,7.0,9.0,
2016-09-25 03:50:00+00:00,80.0,7.0,9.0,
2016-09-25 04:00:00+00:00,70.0,7.0,9.0,
2016-09-25 04:10:00+00:00,70.0,7.0,9.0,
2016-09-25 04:20:00+00:00,80.0,7.0,9.0,
2016-09-25 04:30:00+00:00,70.0,7.0,8.0,
2016-09-25 04:40:00+00:00,50.0,7.0,9.0,
2016-09-25 04:50:00+00:00,50.0,7.0,8.0,
2016-09-25 05:00:00+00:00,50.0,7.0,9.0,
2016-09-25 05:10:00+00:00,50.0,7.0,9.0,
2016-09-25 05:20:00+00:00,50.0,7.0,8.0,
2016-09-25 05:30:00+00:00,70.0,7.0,9.0,
2016-09-25 05:40:00+00:00,70.0,7.0,9.0,
2016-09-25 05:50:00+00:00,70.0,7.0,9.0,
2016-09-25 06:00:00+00:00,70.0,7.0,8.0,
2016-09-25 06:10:00+00:00,70.0,7.0,9.0,
2016-09-25 06:20:00+00:00,70.0,7.0,8.0,
2016-09-25 06:30:00+00:00,70.0,7.0,9.0,
2016-09-25 06:40:00+00:00,70.0,7.0,9.0,
2016-09-25 06:50:00+00:00,70.0,7.0,9.0,
2016-09-25 07:00:00+00:00,70.0,7.0,9.0,
2016-09-25 07:10:00+00:00,80.0,7.0,9.0,
2016-09-25 07:20:00+00:00,70.0,8.0,10.0,
2016-09-25 07:30:00+00:00,70.0,7.0,9.0,
2016-09-25 07:40:00+00:00,80.0,7.0,9.0,
2016-09-25 07:50:00+00:00,80.0,7.0,8.0,
2016-09-25 08:00:00+00:00,70.0,7.0,9.0,
2016-09-25 08:10:00+00:00,80.0,7.0,9.0,
2016-09-25 08:20:00+00:00,70.0,7.0,9.0,
2016-09-25 08:30:00+00:00,70.0,7.0,9.0,
2016-09-25 08:40:00+00:00,70.0,7.0,8.0,
2016-09-25 08:50:00+00:00,70.0,7.0,10.0,
2016-09-25 09:00:00+00:00,80.0,7.0,9.0,
2016-09-25 09:10:00+00:00,70.0,7.0,9.0,
2016-09-25 09:20:00+00:00,70.0,7.0,9.0,
2016-09-25 09:30:00+00:00,60.0,7.0,9.0,
2016-09-25 09:40:00+00:00,70.0,7.0,9.0,
2016-09-25 09:50:00+00:00,60.0,7.0,9.0,
2016-09-25 10:00:00+00:00,60.0,6.0,8.0,
2016-09-25 10:10:00+00:00,60.0,6.0,8.0,
2016-09-25 10:20:00+00:00,60.0,6.0,8.0,
2016-09-25 10:30:00+00:00,60.0,6.0,8.0,
2016-09-25 10:40:00+00:00,70.0,6.0,8.0,
2016-09-25 10:50:00+00:00,80.0,6.0,8.0,
2016-09-25 11:00:00+00:00,80.0,6.0,8.0,
2016-09-25 11:10:00+00:00,80.0,7.0,8.0,
2016-09-25 11:20:00+00:00,70.0,6.0,7.0,
2016-09-25 11:30:00+00:00,70.0,6.0,8.0,
2016-09-25 11:40:00+00:00,80.0,6.0,8.0,
2016-09-25 11:50:00+00:00,70.0,5.0,7.0,
2016-09-25 12:00:00+00:00,80.0,6.0,7.0,
2016-09-25 12:10:00+00:00,80.0,5.0,8.0,
2016-09-25 12:20:00+00:00,70.0,5.0,7.0,
2016-09-25 12:30:00+00:00,80.0,5.0,7.0,
2016-09-25 12:40:00+00:00,80.0,6.0,8.0,
2016-09-25 12:50:00+00:00,70.0,6.0,8.0,
2016-09-25 13:00:00+00:00,70.0,6.0,9.0,
2016-09-25 13:10:00+00:00,60.0,6.0,8.0,
2016-09-25 13:20:00+00:00,70.0,6.0,8.0,
2016-09-25 13:30:00+00:00,60.0,6.0,8.0,
2016-09-25 13:40:00+00:00,50.0,6.0,7.0,
2016-09-25 13:50:00+00:00,50.0,6.0,8.0,
2016-09-25 14:00:00+00:00,50.0,6.0,8.0,
2016-09-25 14:10:00+00:00,50.0,6.0,7.0,
2016-09-25 14:20:00+00:00,50.0,6.0,8.0,
2016-09-25 14:30:00+00:00,50.0,6.0,7.0,
2016-09-25 14:40:00+00:00,60.0,5.0,7.0,
2016-09-25 14:50:00+00:00,50.0,5.0,7.0,
2016-09-25 15:00:00+00:00,50.0,5.0,6.0,
2016-09-25 15:10:00+00:00,50.0,5.0,6.0,
2016-09-25 15:20:00+00:00,60.0,5.0,7.0,
2016-09-25 15:30:00+00:00,50.0,5.0,7.0,
2016-09-25 15:40:00+00:00,60.0,4.0,6.0,
2016-09-25 15:50:00+00:00,50.0,5.0,7.0,
2016-09-25 16:00:00+00:00,50.0,5.0,6.0,
2016-09-25 16:10:00+00:00,60.0,5.0,6.0,
2016-09-25 16:20:00+00:00,70.0,4.0,7.0,
2016-09-25 16:30:00+00:00,70.0,4.0,6.0,
2016-09-25 16:40:00+00:00,70.0,4.0,6.0,
2016-09-25 16:50:00+00:00,80.0,4.0,6.0,
2016-09-25 17:00:00+00:00,80.0,4.0,5.0,
2016-09-25 17:10:00+00:00,80.0,4.0,7.0,
2016-09-25 17:20:00+00:00,80.0,4.0,6.0,
2016-09-25 17:30:00+00:00,80.0,4.0,6.0,
2016-09-25 17:40:00+00:00,70.0,4.0,6.0,
2016-09-25 17:50:00+00:00,70.0,4.0,5.0,
2016-09-25 18:00:00+00:00,80.0,4.0,6.0,
2016-09-25 18:10:00+00:00,90.0,4.0,6.0,
2016-09-25 18:20:00+00:00,70.0,4.0,5.0,
2016-09-25 18:30:00+00:00,60.0,3.0,5.0,
2016-09-25 18:40:00+00:00,80.0,2.0,5.0,
2016-09-25 18:50:00+00:00,90.0,3.0,5.0,
2016-09-25 19:00:00+00:00,90.0,2.0,4.0,
2016-09-25 19:10:00+00:00,110.0,4.0,6.0,
2016-09-25 19:20:00+00:00,110.0,4.0,5.0,
2016-09-25 19:30:00+00:00,120.0,4.0,5.0,
2016-09-25 19:40:00+00:00,110.0,3.0,5.0,
2016-09-25 19:50:00+00:00,100.0,3.0,4.0,
2016-09-25 20:00:00+00:00,120.0,3.0,4.0,
2016-09-25 20:10:00+00:00,110.0,3.0,4.0,
2016-09-25 20:20:00+00:00,130.0,3.0,4.0,
2016-09-25 20:30:00+00:00,100.0,2.0,3.0,
2016-09-25 20:40:00+00:00,120.0,3.0,4.0,
2016-09-25 20:50:00+00:00,120.0,2.0,4.0,
2016-09-25 21:00:00+00:00,130.0,2.0,3.0,
2016-09-25 21:10:00+00:00,100.0,2.0,3.0,
2016-09-25 21:20:00+00:00,130.0,2.0,3.0,
2016-09-25 21:30:00+00:00,100.0,2.0,3.0,
2016-09-25 21:40:00+00:00,100.0,2.0,3.0,
2016-09-25 21:50:00+00:00,100.0,1.0,2.0,
2016-09-25 22:00:00+00:00,80.0,1.0,3.0,
2016-09-25 22:10:00+00:00,80.0,1.0,2.0,
2016-09-25 22:20:00+00:00,70.0,1.0,2.0,
2016-09-25 22:30:00+00:00,80.0,1.0,2.0,
2016-09-25 22:40:00+00:00,120.0,1.0,2.0,
2016-09-25 22:50:00+00:00,120.0,2.0,3.0,
2016-09-25 23:00:00+00:00,140.0,1.0,3.0,
2016-09-25 23:10:00+00:00,140.0,1.0,2.0,
2016-09-25 23:20:00+00:00,100.0,1.0,2.0,
2016-09-25 23:30:00+00:00,120.0,2.0,3.0,
2016-09-25 23:40:00+00:00,110.0,1.0,2.0,
2016-09-25 23:50:00+00:00,70.0,2.0,3.0,
2016-09-26 00:00:00+00:00,80.0,2.0,3.0,
2016-09-26 00:10:00+00:00,80.0,2.0,3.0,
2016-09-26 00:20:00+00:00,70.0,3.0,4.0,
2016-09-26 00:30:00+00:00,70.0,2.0,4.0,
2016-09-26 00:40:00+00:00,90.0,4.0,6.0,
2016-09-26 00:50:00+00:00,90.0,3.0,5.0,
2016-09-26 01:00:00+00:00,80.0,4.0,5.0,
2016-09-26 01:10:00+00:00,80.0,3.0,5.0,
