date_time,wind_from_direction (degree),wind_speed (m/s),wind_speed_of_gust (m/s),upward_air_velocity (m/s)
2016-09-24 15:00:00+00:00,110.0,3.1,4.1,
2016-09-24 15:06:00+00:00,110.0,3.1,4.1,
2016-09-24 15:12:00+00:00,120.0,2.6,3.6,
2016-09-24 15:18:00+00:00,110.0,3.1,4.1,
2016-09-24 15:24:00+00:00,110.0,3.6,4.6,
2016-09-24 15:42:00+00:00,120.0,3.1,4.6,
2016-09-24 15:48:00+00:00,130.0,3.1,4.6,
2016-09-24 15:54:00+00:00,120.0,3.1,5.1,
2016-09-24 16:00:00+00:00,120.0,3.1,4.6,
2016-09-24 16:06:00+00:00,110.0,3.1,5.1,
2016-09-24 16:12:00+00:00,110.0,2.6,4.6,
2016-09-24 16:24:00+00:00,110.0,4.1,5.7,
2016-09-24 16:30:00+00:00,110.0,3.6,5.1,
2016-09-24 16:36:00+00:00,110.0,3.6,5.7,
2016-09-24 16:42:00+00:00,110.0,4.6,5.7,
2016-09-24 16:48:00+00:00,110.0,3.1,4.6,
2016-09-24 16:54:00+00:00,120.0,3.6,5.1,
2016-09-24 17:00:00+00:00,110.0,3.1,5.1,
2016-09-24 17:06:00+00:00,120.0,3.1,5.1,
2016-09-24 17:12:00+00:00,130.0,3.6,5.7,
2016-09-24 17:18:00+00:00,120.0,3.6,6.2,
2016-09-24 17:24:00+00:00,120.0,4.1,5.7,
2016-09-24 17:30:00+00:00,110.0,4.1,5.7,
2016-09-24 17:36:00+00:00,110.0,4.1,5.7,
2016-09-24 17:42:00+00:00,110.0,4.6,5.7,
2016-09-24 17:48:00+00:00,120.0,4.6,6.2,
2016-09-24 18:00:00+00:00,110.0,5.1,6.2,
2016-09-24 18:06:00+00:00,110.0,4.6,6.2,
2016-09-24 18:18:00+00:00,120.0,3.1,4.6,
2016-09-24 18:24:00+00:00,120.0,3.6,5.7,
2016-09-24 18:30:00+00:00,120.0,4.1,6.2,
2016-09-24 18:36:00+00:00,120.0,4.6,6.2,
2016-09-24 18:42:00+00:00,130.0,4.6,6.2,
2016-09-24 18:48:00+00:00,120.0,3.6,5.7,
2016-09-24 18:54:00+00:00,130.0,4.1,5.7,
2016-09-24 19:00:00+00:00,120.0,3.6,5.1,
2016-09-24 19:06:00+00:00,120.0,3.6,5.7,
2016-09-24 19:12:00+00:00,110.0,4.6,6.2,
2016-09-24 19:18:00+00:00,120.0,3.6,5.1,
2016-09-24 19:24:00+00:00,110.0,4.1,5.7,
