date_time,wind_from_direction (degree),wind_speed (m/s),wind_speed_of_gust (m/s),upward_air_velocity (m/s)
2016-09-24 15:00:00+00:00,320.0,3.1,3.6,
2016-09-24 16:00:00+00:00,30.0,4.6,5.1,
2016-09-24 17:00:00+00:00,30.0,5.1,5.7,
2016-09-24 18:00:00+00:00,30.0,6.2,6.7,
2016-09-24 19:00:00+00:00,30.0,6.2,6.7,
2016-09-24 20:00:00+00:00,50.0,7.2,7.7,
2016-09-24 21:00:00+00:00,50.0,6.7,7.2,
2016-09-24 22:00:00+00:00,60.0,6.2,6.7,
2016-09-24 23:00:00+00:00,80.0,4.1,4.6,
2016-09-25 00:00:00+00:00,80.0,3.6,3.6,
2016-09-25 01:00:00+00:00,80.0,3.1,3.6,
2016-09-25 02:00:00+00:00,130.0,3.1,3.1,
2016-09-25 03:00:00+00:00,150.0,2.6,3.1,
2016-09-25 04:00:00+00:00,250.0,1.5,1.5,
2016-09-25 05:00:00+00:00,270.0,1.5,1.5,
2016-09-25 06:00:00+00:00,270.0,2.1,2.6,
2016-09-25 07:00:00+00:00,250.0,2.1,2.6,
2016-09-25 08:00:00+00:00,270.0,1.5,1.5,
2016-09-25 09:00:00+00:00,270.0,1.0,1.5,
2016-09-25 10:00:00+00:00,280.0,1.5,2.1,
2016-09-25 11:00:00+00:00,290.0,1.5,1.5,
2016-09-25 12:00:00+00:00,290.0,1.5,1.5,
2016-09-25 13:00:00+00:00,290.0,1.0,1.5,
2016-09-25 14:00:00+00:00,330.0,2.1,2.6,
2016-09-25 15:00:00+00:00,10.0,4.6,5.1,
2016-09-25 16:00:00+00:00,20.0,4.1,5.1,
2016-09-25 17:00:00+00:00,20.0,6.2,7.2,
2016-09-25 18:00:00+00:00,20.0,5.7,6.2,
2016-09-25 19:00:00+00:00,30.0,6.7,7.2,
2016-09-25 20:00:00+00:00,10.0,5.7,6.7,
2016-09-25 21:00:00+00:00,40.0,6.7,7.2,
2016-09-25 22:00:00+00:00,30.0,7.2,7.7,
2016-09-25 23:00:00+00:00,40.0,6.7,7.7,
2016-09-26 00:00:00+00:00,40.0,6.7,7.7,
2016-09-26 01:00:00+00:00,30.0,5.7,6.2,
2016-09-26 02:00:00+00:00,30.0,5.1,5.7,
2016-09-26 03:00:00+00:00,30.0,4.1,4.1,
2016-09-26 04:00:00+00:00,310.0,1.5,2.1,
2016-09-26 05:00:00+00:00,270.0,3.1,3.6,
2016-09-26 06:00:00+00:00,260.0,2.1,2.6,
2016-09-26 07:00:00+00:00,310.0,2.6,3.1,
2016-09-26 08:00:00+00:00,260.0,2.1,2.1,
2016-09-26 09:00:00+00:00,230.0,4.1,4.6,
2016-09-26 10:00:00+00:00,260.0,2.6,3.1,
2016-09-26 11:00:00+00:00,260.0,3.1,3.6,
2016-09-26 12:00:00+00:00,270.0,3.6,4.1,
2016-09-26 13:00:00+00:00,290.0,2.1,2.6,
2016-09-26 14:00:00+00:00,300.0,3.6,4.1,
2016-09-26 15:00:00+00:00,340.0,5.1,6.2,
2016-09-26 16:00:00+00:00,360.0,2.1,2.1,
2016-09-26 17:00:00+00:00,20.0,3.1,3.1,
2016-09-26 18:00:00+00:00,360.0,6.2,6.7,
2016-09-26 19:00:00+00:00,10.0,6.2,7.2,
2016-09-26 20:00:00+00:00,10.0,7.7,9.3,
2016-09-26 21:00:00+00:00,10.0,5.1,6.2,
2016-09-26 22:00:00+00:00,360.0,5.7,6.2,
2016-09-26 23:00:00+00:00,30.0,6.2,7.2,
2016-09-27 00:00:00+00:00,30.0,4.6,5.1,
2016-09-27 01:00:00+00:00,40.0,3.6,4.6,
2016-09-27 02:00:00+00:00,50.0,1.5,2.1,
2016-09-27 03:00:00+00:00,240.0,3.1,3.6,
2016-09-27 04:00:00+00:00,260.0,2.1,3.1,
2016-09-27 05:00:00+00:00,270.0,2.1,2.6,
2016-09-27 06:00:00+00:00,280.0,2.1,2.6,
2016-09-27 07:00:00+00:00,240.0,2.1,2.6,
2016-09-27 08:00:00+00:00,260.0,1.0,1.5,
2016-09-27 09:00:00+00:00,310.0,1.0,1.5,
2016-09-27 10:00:00+00:00,290.0,2.1,2.6,
2016-09-27 11:00:00+00:00,290.0,1.5,2.1,
2016-09-27 12:00:00+00:00,300.0,2.1,2.6,
2016-09-27 13:00:00+00:00,270.0,2.1,2.6,
2016-09-27 14:00:00+00:00,340.0,4.1,5.1,
2016-09-27 15:00:00+00:00,330.0,3.6,4.6,
2016-09-27 16:00:00+00:00,30.0,3.6,5.1,
2016-09-27 17:00:00+00:00,20.0,4.6,5.1,
2016-09-27 18:00:00+00:00,20.0,4.6,5.1,
2016-09-27 19:00:00+00:00,30.0,4.6,5.1,
2016-09-27 20:00:00+00:00,20.0,5.1,5.7,
2016-09-27 21:00:00+00:00,30.0,5.1,5.7,
2016-09-27 22:00:00+00:00,20.0,4.1,4.6,
2016-09-27 23:00:00+00:00,40.0,3.6,4.1,
2016-09-28 00:00:00+00:00,40.0,3.6,4.1,
2016-09-28 01:00:00+00:00,100.0,2.6,3.1,
2016-09-28 02:00:00+00:00,140.0,4.6,5.1,
2016-09-28 03:00:00+00:00,220.0,3.1,3.6,
2016-09-28 04:00:00+00:00,230.0,2.6,3.1,
2016-09-28 05:00:00+00:00,190.0,2.6,3.1,
2016-09-28 06:00:00+00:00,210.0,3.1,3.6,
2016-09-28 07:00:00+00:00,240.0,1.5,2.1,
2016-09-28 08:00:00+00:00,250.0,3.6,4.1,
2016-09-28 09:00:00+00:00,260.0,3.6,4.6,
2016-09-28 10:00:00+00:00,260.0,2.6,3.1,
2016-09-28 11:00:00+00:00,250.0,2.6,3.1,
2016-09-28 12:00:00+00:00,250.0,2.1,2.6,
2016-09-28 13:00:00+00:00,240.0,1.5,2.1,
2016-09-28 14:00:00+00:00,270.0,2.1,2.6,
2016-09-28 15:00:00+00:00,220.0,3.1,4.1,
2016-09-28 16:00:00+00:00,260.0,3.1,3.6,
2016-09-28 17:00:00+00:00,280.0,2.6,3.1,
2016-09-28 18:00:00+00:00,230.0,2.1,2.6,
2016-09-28 19:00:00+00:00,110.0,5.1,5.7,
2016-09-28 20:00:00+00:00,130.0,11.3,13.9,
2016-09-28 21:00:00+00:00,240.0,2.1,2.6,
2016-09-28 22:00:00+00:00,,0.0,0.5,
2016-09-28 23:00:00+00:00,230.0,2.1,3.1,
2016-09-29 00:00:00+00:00,230.0,3.1,4.1,
2016-09-29 01:00:00+00:00,230.0,4.1,5.1,
2016-09-29 02:00:00+00:00,230.0,4.1,4.6,
2016-09-29 03:00:00+00:00,230.0,2.6,3.6,
2016-09-29 04:00:00+00:00,260.0,3.6,4.6,
2016-09-29 05:00:00+00:00,230.0,2.6,3.6,
2016-09-29 06:00:00+00:00,230.0,2.6,4.1,
2016-09-29 07:00:00+00:00,210.0,3.6,4.6,
2016-09-29 08:00:00+00:00,220.0,3.1,4.1,
2016-09-29 09:00:00+00:00,230.0,2.6,3.6,
2016-09-29 10:00:00+00:00,220.0,3.6,4.1,
2016-09-29 11:00:00+00:00,230.0,3.1,4.6,
2016-09-29 12:00:00+00:00,230.0,2.6,3.1,
2016-09-29 13:00:00+00:00,220.0,4.1,5.7,
2016-09-29 14:00:00+00:00,230.0,3.1,4.1,
2016-09-29 15:00:00+00:00,220.0,4.6,6.2,
2016-09-29 16:00:00+00:00,240.0,3.1,4.6,
2016-09-29 17:00:00+00:00,270.0,2.1,3.1,
2016-09-29 18:00:00+00:00,200.0,3.6,4.1,
2016-09-29 19:00:00+00:00,220.0,3.6,5.1,
2016-09-29 20:00:00+00:00,220.0,5.1,6.2,
2016-09-29 21:00:00+00:00,200.0,3.6,4.6,
2016-09-29 22:00:00+00:00,200.0,6.2,7.7,
2016-09-29 23:00:00+00:00,210.0,3.1,4.1,
2016-09-30 00:00:00+00:00,210.0,4.6,5.7,
2016-09-30 01:00:00+00:00,220.0,3.6,4.6,
2016-09-30 02:00:00+00:00,210.0,3.6,4.6,
2016-09-30 03:00:00+00:00,210.0,3.1,3.6,
2016-09-30 04:00:00+00:00,220.0,3.6,4.1,
2016-09-30 05:00:00+00:00,210.0,3.1,4.1,
2016-09-30 06:00:00+00:00,220.0,3.6,4.6,
2016-09-30 07:00:00+00:00,210.0,3.1,4.1,
2016-09-30 08:00:00+00:00,230.0,2.6,3.1,
2016-09-30 09:00:00+00:00,220.0,2.1,3.1,
2016-09-30 10:00:00+00:00,250.0,2.1,2.6,
2016-09-30 11:00:00+00:00,230.0,1.5,2.1,
2016-09-30 12:00:00+00:00,180.0,1.0,1.5,
2016-09-30 13:00:00+00:00,240.0,2.1,3.1,
2016-09-30 14:00:00+00:00,240.0,1.0,1.5,
2016-09-30 15:00:00+00:00,220.0,1.5,2.1,
2016-09-30 16:00:00+00:00,120.0,3.6,4.1,
2016-09-30 17:00:00+00:00,130.0,4.1,4.6,
2016-09-30 18:00:00+00:00,120.0,4.6,5.1,
2016-09-30 19:00:00+00:00,130.0,4.1,4.6,
2016-09-30 20:00:00+00:00,130.0,3.6,4.6,
2016-09-30 21:00:00+00:00,130.0,4.1,4.6,
2016-09-30 22:00:00+00:00,130.0,4.1,4.6,
2016-09-30 23:00:00+00:00,130.0,4.6,5.1,
2016-10-01 00:00:00+00:00,130.0,5.7,6.2,
2016-10-01 01:00:00+00:00,140.0,5.7,5.7,
2016-10-01 02:00:00+00:00,170.0,4.1,5.1,
2016-10-01 03:00:00+00:00,200.0,3.1,3.6,
2016-10-01 04:00:00+00:00,230.0,4.1,5.1,
2016-10-01 05:00:00+00:00,240.0,2.6,3.6,
2016-10-01 06:00:00+00:00,240.0,2.6,3.6,
2016-10-01 07:00:00+00:00,270.0,3.1,4.1,
2016-10-01 08:00:00+00:00,260.0,3.6,4.6,
2016-10-01 09:00:00+00:00,300.0,2.1,2.6,
2016-10-01 10:00:00+00:00,300.0,1.5,1.5,
2016-10-01 11:00:00+00:00,320.0,3.1,3.6,
2016-10-01 12:00:00+00:00,310.0,3.1,3.6,
2016-10-01 13:00:00+00:00,340.0,2.6,3.1,
2016-10-01 14:00:00+00:00,360.0,2.6,2.6,
2016-10-01 15:00:00+00:00,360.0,2.6,3.1,
2016-10-01 16:00:00+00:00,360.0,5.7,5.7,
2016-10-01 17:00:00+00:00,10.0,5.1,5.7,
2016-10-01 18:00:00+00:00,40.0,4.1,4.6,
2016-10-01 19:00:00+00:00,50.0,3.6,4.1,
2016-10-01 20:00:00+00:00,40.0,4.1,4.6,
2016-10-01 21:00:00+00:00,20.0,3.6,4.1,
2016-10-01 22:00:00+00:00,40.0,3.6,4.1,
2016-10-01 23:00:00+00:00,80.0,3.1,3.6,
2016-10-02 00:00:00+00:00,100.0,4.6,5.1,
2016-10-02 01:00:00+00:00,140.0,4.6,5.1,
2016-10-02 02:00:00+00:00,150.0,5.7,6.2,
2016-10-02 03:00:00+00:00,160.0,5.7,6.2,
2016-10-02 04:00:00+00:00,150.0,5.7,6.2,
2016-10-02 05:00:00+00:00,220.0,2.1,2.6,
2016-10-02 06:00:00+00:00,230.0,2.6,3.1,
2016-10-02 07:00:00+00:00,230.0,2.1,2.6,
2016-10-02 08:00:00+00:00,240.0,3.1,4.1,
2016-10-02 09:00:00+00:00,270.0,2.1,2.6,
2016-10-02 10:00:00+00:00,300.0,1.0,1.0,
2016-10-02 11:00:00+00:00,320.0,1.0,1.5,
2016-10-02 12:00:00+00:00,340.0,3.1,3.6,
2016-10-02 13:00:00+00:00,340.0,2.6,3.1,
2016-10-02 14:00:00+00:00,20.0,2.1,2.1,
2016-10-02 15:00:00+00:00,10.0,2.6,3.1,
2016-10-02 16:00:00+00:00,40.0,3.6,4.1,
2016-10-02 17:00:00+00:00,50.0,4.1,5.1,
2016-10-02 18:00:00+00:00,60.0,5.1,6.2,
2016-10-02 19:00:00+00:00,70.0,6.2,6.7,
2016-10-02 20:00:00+00:00,140.0,7.7,8.2,
2016-10-02 21:00:00+00:00,100.0,5.1,5.7,
2016-10-02 22:00:00+00:00,120.0,3.1,4.1,
2016-10-02 23:00:00+00:00,120.0,4.6,4.6,
2016-10-03 00:00:00+00:00,150.0,4.6,5.7,
2016-10-03 01:00:00+00:00,150.0,4.1,4.6,
2016-10-03 02:00:00+00:00,150.0,4.6,5.1,
2016-10-03 03:00:00+00:00,220.0,1.5,2.1,
2016-10-03 04:00:00+00:00,270.0,1.5,2.1,
2016-10-03 05:00:00+00:00,,0.0,0.0,
2016-10-03 06:00:00+00:00,330.0,1.0,1.5,
2016-10-03 07:00:00+00:00,120.0,4.1,5.1,
2016-10-03 08:00:00+00:00,90.0,3.6,4.1,
2016-10-03 09:00:00+00:00,90.0,4.1,4.6,
2016-10-03 10:00:00+00:00,60.0,3.1,3.6,
2016-10-03 11:00:00+00:00,330.0,3.6,4.6,
2016-10-03 12:00:00+00:00,320.0,9.3,10.3,
2016-10-03 13:00:00+00:00,300.0,3.1,3.6,
2016-10-03 14:00:00+00:00,340.0,1.5,1.5,
2016-10-03 15:00:00+00:00,350.0,2.1,2.1,
2016-10-03 16:00:00+00:00,,0.0,0.5,
2016-10-03 17:00:00+00:00,20.0,2.6,3.6,
2016-10-03 18:00:00+00:00,60.0,12.9,14.4,
2016-10-03 19:00:00+00:00,80.0,6.2,6.7,
2016-10-03 20:00:00+00:00,80.0,5.1,5.7,
2016-10-03 21:00:00+00:00,100.0,5.7,6.2,
2016-10-03 22:00:00+00:00,100.0,7.7,9.3,
2016-10-03 23:00:00+00:00,80.0,6.2,7.2,
2016-10-04 00:00:00+00:00,80.0,4.6,5.7,
2016-10-04 01:00:00+00:00,70.0,6.2,6.7,
2016-10-04 02:00:00+00:00,90.0,4.6,5.1,
2016-10-04 03:00:00+00:00,110.0,7.7,9.3,
2016-10-04 04:00:00+00:00,80.0,1.0,1.0,
2016-10-04 05:00:00+00:00,,0.0,0.5,
2016-10-04 06:00:00+00:00,80.0,6.7,7.7,
2016-10-04 07:00:00+00:00,90.0,4.1,4.1,
2016-10-04 08:00:00+00:00,10.0,8.2,9.3,
2016-10-04 09:00:00+00:00,20.0,8.2,9.3,
2016-10-04 10:00:00+00:00,50.0,8.2,8.8,
2016-10-04 11:00:00+00:00,50.0,8.2,9.3,
2016-10-04 12:00:00+00:00,60.0,7.7,8.2,
2016-10-04 13:00:00+00:00,40.0,8.2,9.3,
2016-10-04 14:00:00+00:00,40.0,8.2,9.3,
2016-10-04 15:00:00+00:00,30.0,8.8,10.3,
2016-10-04 16:00:00+00:00,30.0,7.7,9.3,
2016-10-04 17:00:00+00:00,30.0,8.2,9.3,
2016-10-04 18:00:00+00:00,40.0,5.7,6.7,
2016-10-04 19:00:00+00:00,360.0,6.2,6.7,
2016-10-04 20:00:00+00:00,40.0,8.8,9.3,
2016-10-04 21:00:00+00:00,40.0,8.8,9.8,
2016-10-04 22:00:00+00:00,30.0,8.8,9.8,
2016-10-04 23:00:00+00:00,40.0,7.7,8.2,
2016-10-05 00:00:00+00:00,350.0,10.8,11.8,
2016-10-05 01:00:00+00:00,360.0,7.2,8.2,
2016-10-05 02:00:00+00:00,10.0,9.3,10.3,
2016-10-05 03:00:00+00:00,40.0,8.8,9.8,
2016-10-05 04:00:00+00:00,30.0,7.7,8.2,
2016-10-05 05:00:00+00:00,20.0,9.3,10.3,
2016-10-05 06:00:00+00:00,40.0,11.3,12.4,
2016-10-05 07:00:00+00:00,30.0,7.7,8.2,
2016-10-05 08:00:00+00:00,20.0,8.8,9.8,
2016-10-05 09:00:00+00:00,40.0,10.3,11.3,
2016-10-05 10:00:00+00:00,20.0,9.8,11.3,
2016-10-05 11:00:00+00:00,20.0,10.3,11.8,
2016-10-05 12:00:00+00:00,30.0,9.8,10.8,
2016-10-05 13:00:00+00:00,20.0,11.8,12.9,
2016-10-05 14:00:00+00:00,30.0,7.2,9.3,
2016-10-05 15:00:00+00:00,40.0,10.8,11.8,
2016-10-05 16:00:00+00:00,30.0,10.8,11.8,
2016-10-05 17:00:00+00:00,30.0,12.4,13.4,
2016-10-05 18:00:00+00:00,20.0,13.4,14.9,
2016-10-05 19:00:00+00:00,20.0,13.9,15.4,
2016-10-05 20:00:00+00:00,30.0,13.9,15.4,
2016-10-05 21:00:00+00:00,30.0,11.8,13.4,
2016-10-05 22:00:00+00:00,30.0,12.4,14.9,
2016-10-05 23:00:00+00:00,20.0,13.9,15.4,
2016-10-06 00:00:00+00:00,20.0,16.5,18.0,
2016-10-06 01:00:00+00:00,10.0,13.4,14.9,
2016-10-06 02:00:00+00:00,40.0,10.8,12.4,
2016-10-06 03:00:00+00:00,70.0,10.8,12.4,
2016-10-06 04:00:00+00:00,30.0,9.8,11.3,
2016-10-06 05:00:00+00:00,30.0,11.3,12.9,
2016-10-06 06:00:00+00:00,40.0,13.9,15.4,
2016-10-06 07:00:00+00:00,30.0,12.4,13.4,
2016-10-06 08:00:00+00:00,40.0,13.4,14.4,
2016-10-06 09:00:00+00:00,40.0,12.4,13.4,
2016-10-06 10:00:00+00:00,40.0,11.8,13.4,
2016-10-06 11:00:00+00:00,40.0,11.8,12.9,
2016-10-06 12:00:00+00:00,40.0,10.8,12.4,
2016-10-06 13:00:00+00:00,30.0,10.8,11.8,
2016-10-06 14:00:00+00:00,40.0,11.3,12.4,
2016-10-06 15:00:00+00:00,30.0,13.4,14.9,
2016-10-06 16:00:00+00:00,30.0,14.4,17.0,
2016-10-06 17:00:00+00:00,20.0,13.4,14.9,
2016-10-06 18:00:00+00:00,20.0,13.4,15.4,
2016-10-06 19:00:00+00:00,20.0,12.4,13.4,
2016-10-06 20:00:00+00:00,60.0,11.8,13.4,
2016-10-06 21:00:00+00:00,40.0,11.8,12.9,
2016-10-06 22:00:00+00:00,20.0,11.3,11.8,
2016-10-06 23:00:00+00:00,20.0,11.8,13.9,
2016-10-07 00:00:00+00:00,10.0,13.4,14.9,
2016-10-07 01:00:00+00:00,20.0,14.9,16.5,
2016-10-07 02:00:00+00:00,30.0,14.4,16.0,
2016-10-07 03:00:00+00:00,30.0,17.0,18.5,
2016-10-07 04:00:00+00:00,30.0,16.0,18.0,
2016-10-07 05:00:00+00:00,40.0,16.0,18.0,
2016-10-07 06:00:00+00:00,30.0,15.4,17.0,
2016-10-07 07:00:00+00:00,40.0,16.0,18.5,
2016-10-07 08:00:00+00:00,20.0,14.4,16.0,
2016-10-07 09:00:00+00:00,40.0,16.5,21.1,
2016-10-07 10:00:00+00:00,30.0,19.6,23.7,
2016-10-07 11:00:00+00:00,20.0,19.6,22.7,
2016-10-07 12:00:00+00:00,30.0,19.6,24.2,
2016-10-07 13:00:00+00:00,20.0,21.6,23.7,
2016-10-07 14:00:00+00:00,10.0,21.6,25.2,
2016-10-07 15:00:00+00:00,10.0,26.3,29.9,
2016-10-07 16:00:00+00:00,10.0,24.7,30.4,
2016-10-07 17:00:00+00:00,10.0,28.8,34.0,
2016-10-07 18:00:00+00:00,360.0,28.3,33.5,
2016-10-07 19:00:00+00:00,340.0,25.2,29.9,
2016-10-07 20:00:00+00:00,320.0,19.6,25.2,
2016-10-07 21:00:00+00:00,290.0,13.9,19.0,
2016-10-07 22:00:00+00:00,290.0,18.0,25.2,
2016-10-07 23:00:00+00:00,280.0,13.4,17.0,
2016-10-08 00:00:00+00:00,270.0,11.8,17.0,
2016-10-08 01:00:00+00:00,280.0,11.8,16.0,
