date_time,wind_from_direction (degree),wind_speed (m/s),wind_speed_of_gust (m/s),upward_air_velocity (m/s)
2016-09-24 15:00:00+00:00,20.0,1.5,,
2016-09-24 15:15:00+00:00,30.0,1.5,,
2016-09-24 15:30:00+00:00,40.0,1.0,,
2016-09-24 15:45:00+00:00,50.0,1.5,,
2016-09-24 16:00:00+00:00,50.0,1.5,,
2016-09-24 16:15:00+00:00,50.0,1.5,,
2016-09-24 16:30:00+00:00,40.0,1.5,,
2016-09-24 16:45:00+00:00,50.0,2.1,,
2016-09-24 17:00:00+00:00,50.0,1.5,,
2016-09-24 17:15:00+00:00,60.0,1.5,,
2016-09-24 17:30:00+00:00,50.0,1.5,,
2016-09-24 17:45:00+00:00,50.0,1.5,,
2016-09-24 18:00:00+00:00,60.0,1.5,,
2016-09-24 18:15:00+00:00,50.0,2.1,,
2016-09-24 18:30:00+00:00,50.0,1.5,,
2016-09-24 18:45:00+00:00,50.0,2.1,,
2016-09-24 19:00:00+00:00,70.0,3.1,,
2016-09-24 19:15:00+00:00,60.0,4.1,,
2016-09-24 19:30:00+00:00,60.0,4.1,,
2016-09-24 19:45:00+00:00,50.0,4.1,,
2016-09-24 20:00:00+00:00,70.0,4.6,,
2016-09-24 20:15:00+00:00,60.0,4.6,,
2016-09-24 20:30:00+00:00,50.0,4.6,,
2016-09-24 20:45:00+00:00,60.0,4.1,,
2016-09-24 21:00:00+00:00,70.0,3.6,,
2016-09-24 21:15:00+00:00,70.0,3.6,,
2016-09-24 21:30:00+00:00,60.0,2.6,,
2016-09-24 21:45:00+00:00,70.0,3.1,,
2016-09-24 22:00:00+00:00,90.0,2.1,,
2016-09-24 22:15:00+00:00,110.0,3.1,,
2016-09-24 22:30:00+00:00,120.0,4.6,,
2016-09-24 22:45:00+00:00,110.0,3.6,,
2016-09-24 23:00:00+00:00,100.0,4.6,,
2016-09-24 23:15:00+00:00,100.0,4.6,,
2016-09-24 23:30:00+00:00,100.0,4.6,,
2016-09-24 23:45:00+00:00,100.0,3.1,,
2016-09-25 00:00:00+00:00,110.0,1.5,,
2016-09-25 00:15:00+00:00,110.0,2.6,,
2016-09-25 00:30:00+00:00,100.0,2.1,,
2016-09-25 00:45:00+00:00,100.0,2.1,,
2016-09-25 01:00:00+00:00,110.0,2.1,,
2016-09-25 01:15:00+00:00,110.0,2.1,,
2016-09-25 01:30:00+00:00,110.0,1.5,,
2016-09-25 01:45:00+00:00,110.0,2.1,,
